Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room,AccX,AccY,AccZ,Activity
-64.479,-99.795,-64.794,-86.509,1,0.78333,-0.54531,-0.016146,1
-61.201,-100.09,-70.868,-88.225,1,0.66688,-0.56906,0.1775,1
-58.953,-100.36,-75.419,-90.19,1,0.8,-0.4675,0.091875,1
-58.03,-100.49,-77.89,-91.99,1,0.165,-0.73979,0.21583,1
-58.454,-100.44,-78.198,-93.33,1,-0.28194,-0.73819,0.49444,1
-59.969,-100.23,-76.745,-94.092,1,-0.11667,-0.20583,0.94583,1
-62.107,-99.929,-74.288,-94.343,1,0.004375,-0.13083,1.016,1
-64.32,-99.651,-71.722,-94.272,1,-0.027778,-0.14896,1.0139,1
-66.128,-99.5,-69.833,-94.11,1,-0.035938,-0.15521,1.0151,1
-67.248,-99.534,-69.1,-94.041,1,-0.0375,-0.16031,1.0063,1
-67.658,-99.742,-69.586,-94.148,1,-0.049167,-0.15792,1.0052,1
-67.581,-100.05,-70.966,-94.404,1,-0.043125,-0.14854,1.0162,1
-67.386,-100.34,-72.664,-94.705,1,-0.05,-0.13906,1.0109,1
-67.45,-100.51,-74.06,-94.932,1,-0.017188,-0.13047,1.0231,1
-68.007,-100.49,-74.698,-95.012,1,-0.016458,-0.12417,1.0123,1
-69.052,-100.29,-74.438,-94.956,1,-0.028125,-0.12812,1.0211,1
-70.315,-99.976,-73.491,-94.854,1,-0.03125,-0.12667,1.0215,1
-71.34,-99.671,-72.347,-94.842,1,-0.030625,-0.12667,1.0171,1
-71.622,-99.485,-71.6,-95.04,1,-0.029688,-0.13177,1.0195,1
-70.786,-99.489,-71.75,-95.505,1,-0.048056,-0.12847,1.0125,1
-68.732,-99.684,-73.019,-96.193,1,-0.032589,-0.12351,1.0141,1
-65.715,-99.999,-75.266,-96.978,1,-0.024653,-0.12049,1.0153,1
-62.32,-100.32,-78.01,-97.693,1,-0.016042,-0.1525,1.051,1
-59.33,-100.52,-80.565,-98.193,1,-0.21563,-0.14479,0.91771,1
-57.532,-100.53,-82.24,-98.413,1,-0.48146,0.020625,0.85271,1
-57.501,-100.35,-82.55,-98.399,1,-0.53854,-0.078125,0.89479,1
-59.429,-100.03,-81.371,-98.293,1,-0.80516,0.052031,0.19672,1
-63.05,-99.694,-78.983,-98.282,1,-0.86172,-0.11484,0.16875,1
-67.685,-99.47,-76.004,-98.526,1,-0.20391,-0.67682,0.81719,1
-72.395,-99.44,-73.213,-99.084,1,-0.22057,-0.66146,0.6888,1
-76.209,-99.62,-71.34,-99.882,1,-0.21875,-0.68464,0.67318,1
-78.362,-99.944,-70.86,-100.72,1,-0.21667,-0.68021,0.68125,1
-78.476,-100.29,-71.865,-101.31,1,-0.20807,-0.67969,0.68151,1
-76.655,-100.54,-74.053,-101.41,1,-0.21734,-0.67703,0.67375,1
-73.44,-100.59,-76.821,-100.86,1,-0.21875,-0.68594,0.66563,1
-69.673,-100.42,-79.446,-99.657,1,-0.37396,-0.72917,0.080729,1
-66.278,-100.09,-81.291,-97.99,1,-0.12552,-0.83047,0.18021,1
-64.034,-99.72,-81.979,-96.169,1,0.053333,-0.77563,-0.225,1
-63.404,-99.453,-81.481,-94.542,1,0.875,-0.26719,0.31875,1
-64.435,-99.386,-80.106,-93.4,1,0.90708,-0.21531,0.44833,1
-66.783,-99.548,-78.383,-92.881,1,0.24049,-0.57694,0.76653,1
-69.82,-99.882,-76.899,-92.935,1,-0.015625,-0.4125,0.52344,1
-72.811,-100.27,-76.118,-93.341,1,-0.025,-0.86719,0.35104,1
-75.092,-100.56,-76.261,-93.781,1,0.32986,-0.71528,0.69167,1
-76.224,-100.64,-77.251,-93.937,1,0.31701,-0.63542,0.68194,1
-76.069,-100.49,-78.77,-93.596,1,0.3349,-0.61875,0.7,1
-74.795,-100.15,-80.37,-92.715,1,0.34656,-0.6175,0.69297,1
-72.8,-99.75,-81.621,-91.432,1,0.3401,-0.6099,0.70469,1
-70.597,-99.433,-82.248,-90.024,1,0.34167,-0.60208,0.70885,1
-68.685,-99.322,-82.205,-88.819,1,0.35542,-0.58927,0.70417,1
-67.439,-99.464,-81.67,-88.092,1,0.36719,-0.57813,0.71667,1
-67.05,-99.81,-80.971,-87.991,1,0.35104,-0.63771,0.655,1
-67.505,-100.23,-80.464,-88.49,1,0.33031,-0.67792,0.61906,1
-68.619,-100.58,-80.41,-89.409,1,0.33187,-0.66656,0.63354,1
-70.098,-100.71,-80.879,-90.467,1,0.33896,-0.63844,0.6674,1
-71.606,-100.58,-81.728,-91.38,1,0.34063,-0.63125,0.66875,1
-72.836,-100.23,-82.64,-91.933,1,0.34375,-0.63646,0.67708,1
-73.553,-99.784,-83.225,-92.049,1,0.33354,-0.63469,0.67969,1
-73.624,-99.408,-83.138,-91.794,1,0.34813,-0.6249,0.67542,1
-73.024,-99.246,-82.19,-91.35,1,0.34819,-0.625,0.67646,1
-71.827,-99.364,-80.407,-90.955,1,0.34875,-0.625,0.67792,1
-70.18,-99.724,-78.026,-90.828,1,0.34896,-0.61354,0.69271,1
-68.283,-100.2,-75.431,-91.108,1,0.34653,-0.61319,0.69722,1
-66.351,-100.61,-73.057,-91.828,1,0.39427,-0.61719,0.81927,1
-64.59,-100.8,-71.275,-92.909,1,0.12125,-0.26109,0.91672,1
-63.16,-100.7,-70.307,-94.196,1,-0.34375,0.015625,0.90625,1
-62.16,-100.33,-70.191,-95.505,1,-0.3851,0.045417,0.94656,1
-61.617,-99.823,-70.792,-96.666,1,-0.36354,0.060625,0.98687,1
-61.485,-99.374,-71.859,-97.557,1,-0.275,0.1874,0.93073,1
-61.665,-99.148,-73.11,-98.121,1,-0.19687,0.24271,0.99625,1
-62.031,-99.237,-74.302,-98.357,1,-0.39141,0.20859,0.88672,1
-62.466,-99.618,-75.284,-98.305,1,-0.45911,0.029948,0.83724,1
-62.883,-100.15,-76.008,-98.03,1,-0.33208,-0.35729,0.65917,1
-63.246,-100.65,-76.503,-97.61,1,-0.43172,-0.21437,0.76328,1
-63.562,-100.91,-76.833,-97.122,1,-0.21432,0.58281,0.70651,1
-63.871,-100.84,-77.044,-96.648,1,-0.035417,0.80278,0.525,1
-64.217,-100.45,-77.136,-96.264,1,-0.22122,0.70063,0.45177,1
-64.624,-99.87,-77.059,-96.033,1,-0.45667,0.415,0.75177,1
-65.086,-99.323,-76.735,-95.988,1,-0.25677,-0.064063,0.79844,1
-65.567,-99.013,-76.1,-96.119,1,-0.039063,-0.65312,0.7375,1
-66.016,-99.067,-75.148,-96.364,1,-0.040625,-0.65625,0.72656,1
-66.399,-99.478,-73.958,-96.609,1,-0.065625,-0.69562,0.77406,1
-66.721,-100.1,-72.687,-96.716,1,-0.19969,-0.37844,0.83688,1
-67.035,-100.71,-71.548,-96.564,1,-0.075,-0.40056,0.87785,1
-67.434,-101.08,-70.75,-96.088,1,0.10937,-0.40625,0.9,1
-68.019,-101.05,-70.446,-95.316,1,0.18594,-0.40391,0.91172,1
-68.863,-100.61,-70.686,-94.384,1,-0.036979,-0.65052,0.6599,1
-69.966,-99.926,-71.402,-93.511,1,0.016406,-0.56406,0.82734,1
-71.238,-99.237,-72.42,-92.951,1,0.019375,-0.57771,0.81292,1
-72.503,-98.808,-73.509,-92.92,1,-0.050937,-0.56937,0.81906,1
-73.536,-98.815,-74.437,-93.526,1,-0.068576,-0.56128,0.82031,1
-74.119,-99.277,-75.032,-94.727,1,-0.0625,-0.5625,0.81701,1
-74.105,-100.04,-75.221,-96.319,1,-0.0625,-0.56406,0.81719,1
-73.466,-100.83,-75.037,-97.981,1,-0.0625,-0.56406,0.81953,1
-72.308,-101.34,-74.608,-99.35,1,-0.0625,-0.56328,0.82031,1
-70.853,-101.37,-74.104,-100.12,1,-0.051562,-0.56979,0.81771,1
-69.383,-100.87,-73.695,-100.13,1,-0.04375,-0.56797,0.81719,1
-68.172,-99.995,-73.498,-99.404,1,-0.048438,-0.56693,0.81875,1
-67.414,-99.07,-73.563,-98.163,1,-0.060677,-0.5651,0.81615,1
-67.186,-98.444,-73.863,-96.76,1,-0.15972,-0.48125,0.76458,1
-67.439,-98.379,-74.322,-95.588,1,-0.41172,-0.31536,0.48464,1
-68.033,-98.943,-74.848,-94.978,1,-0.17708,-0.47333,0.7725,1
-68.789,-99.965,-75.367,-95.106,1,0.11198,0.070833,1.001,1
-69.558,-101.09,-75.842,-95.952,1,0.048437,-0.59922,0.64609,1
-70.259,-101.88,-76.279,-97.311,1,0.03125,-0.76625,0.605,1
-70.891,-102,-76.704,-98.852,1,0.033073,-0.75885,0.60703,1
-71.51,-101.34,-77.144,-100.22,1,0.03125,-0.76328,0.60859,1
-72.178,-100.07,-77.596,-101.12,1,0.033333,-0.76042,0.60833,1
-72.907,-98.633,-78.012,-101.42,1,0.036094,-0.75969,0.61047,1
-73.626,-97.564,-78.315,-101.15,1,0.034531,-0.75625,0.61187,1
-74.186,-97.34,-78.414,-100.49,1,0.03375,-0.75875,0.60875,1
-74.403,-98.175,-78.254,-99.714,1,0.03125,-0.75365,0.61094,1
-74.139,-99.906,-77.847,-99.088,1,0.038281,-0.75781,0.61016,1
-73.377,-102,-77.303,-98.8,1,0.035156,-0.75391,0.61328,1
-72.285,-103.69,-76.826,-98.898,1,0.03125,-0.7575,0.6125,1
-71.215,-104.19,-76.684,-99.281,1,0.03125,-0.75677,0.60703,1
-70.652,-102.96,-77.152,-99.732,1,0.032656,-0.76734,0.60969,1
-71.098,-99.851,-78.443,-99.98,1,0.03125,-0.76172,0.61172,1
-72.937,-95.239,-80.649,-99.781,1,0.034375,-0.75938,0.60703,1
-76.31,-89.88,-83.698,-98.987,1,0.03125,-0.76667,0.59479,1
-81.04,-84.721,-87.355,-97.586,1,0.033854,-0.76276,0.60443,1
-86.641,-80.617,-91.255,-95.707,2,0.7875,-0.4625,-0.20781,2
-92.404,-78.067,-94.973,-93.589,2,0.66563,-0.6,0.025,2
-97.553,-77.07,-98.111,-91.522,2,0.445,-0.79875,-0.065,2
-101.42,-77.135,-100.38,-89.782,2,0.54722,-0.64063,-0.17708,2
-103.61,-77.451,-101.65,-88.569,2,0.98229,-0.38646,0.22708,2
-104.07,-77.169,-101.98,-87.97,2,0.89688,-0.35104,0.17063,2
-103.12,-75.699,-101.59,-87.951,2,0.94661,-0.35625,0.11823,2
-101.3,-72.929,-100.78,-88.373,2,0.97188,-0.31094,0.15625,2
-99.304,-69.285,-99.897,-89.036,2,0.95417,-0.23542,0.19375,2
-97.721,-65.612,-99.22,-89.733,2,0.89141,-0.16406,0.25078,2
-96.94,-62.912,-98.915,-90.3,2,0.89875,-0.31125,0.1625,2
-97.057,-62.006,-99.012,-90.653,2,0.95521,-0.3,0.21667,2
-97.888,-63.252,-99.418,-90.809,2,0.91667,-0.30833,0.10469,2
-99.062,-66.388,-99.96,-90.873,2,0.90938,-0.33993,0.17604,2
-100.15,-70.579,-100.45,-91.014,2,0.95531,-0.15687,0.26875,2
-100.81,-74.638,-100.73,-91.408,2,0.73438,-0.6625,0.053125,2
-100.88,-77.376,-100.74,-92.191,2,0.85625,-0.44688,-0.10625,2
-100.42,-77.959,-100.5,-93.407,2,0.825,-0.46667,-0.16042,2
-99.672,-76.168,-100.12,-94.981,2,0.90422,-0.38422,-0.082187,2
-98.955,-72.477,-99.729,-96.72,2,0.87604,-0.40833,0.072917,2
-98.563,-67.923,-99.46,-98.345,2,0.75521,-0.58958,-0.24375,2
-98.661,-63.802,-99.394,-99.549,2,0.53125,-0.6125,-0.36562,2
-99.229,-61.29,-99.537,-100.07,2,0.51875,-0.65417,-0.42083,2
-100.08,-61.095,-99.827,-99.773,2,0.32969,-0.65781,-0.5375,2
-100.93,-63.253,-100.16,-98.68,2,0.71667,-0.61667,-0.1375,2
-101.48,-67.117,-100.42,-96.998,2,0.4875,-0.67188,-0.49188,2
-101.55,-71.556,-100.52,-95.08,2,0.57188,-0.61562,-0.47813,2
-101.1,-75.289,-100.44,-93.35,2,0.375,-0.50625,-0.65625,2
-100.25,-77.248,-100.21,-92.202,2,0.71719,-0.5487,0.092188,2
-99.262,-76.887,-99.922,-91.904,2,0.96458,-0.18438,0.10833,2
-98.43,-74.313,-99.672,-92.519,2,0.83672,-0.40937,0.22813,2
-97.985,-70.243,-99.546,-93.884,2,0.93375,-0.3375,0.035,2
-98.028,-65.781,-99.581,-95.635,2,0.9225,-0.30875,0.07625,2
-98.498,-62.104,-99.761,-97.294,2,0.90417,-0.25833,0.25417,2
-99.19,-60.148,-100.02,-98.385,2,0.88958,-0.23229,0.25,2
-99.829,-60.379,-100.26,-98.553,2,0.86875,-0.25903,0.11875,2
-100.15,-62.712,-100.4,-97.658,2,0.8625,-0.2825,-0.21625,2
-99.977,-66.584,-100.4,-95.815,2,0.875,-0.285,-0.21125,2
-99.293,-71.145,-100.26,-93.376,2,0.83125,-0.34313,-0.2975,2
-98.224,-75.496,-100.03,-90.846,2,0.85938,-0.34063,-0.08125,2
-97.011,-78.905,-99.797,-88.769,2,0.82781,-0.48625,-0.01375,2
-95.935,-80.941,-99.636,-87.603,2,0.90625,-0.31042,0.22708,2
-95.243,-81.507,-99.606,-87.618,2,0.91745,-0.31146,0.12474,2
-95.079,-80.769,-99.715,-88.835,2,0.92309,-0.29253,0.21389,2
-95.453,-79.047,-99.923,-91.032,2,0.89833,-0.32292,0.059583,2
-96.252,-76.691,-100.15,-93.792,2,0.89687,-0.37656,0.065625,2
-97.273,-74.002,-100.33,-96.595,2,0.90938,-0.33125,0.08125,2
-98.288,-71.211,-100.38,-98.921,2,0.92125,-0.285,0.12375,2
-99.103,-68.498,-100.3,-100.34,2,0.8875,-0.30208,0.1875,2
-99.599,-66.047,-100.12,-100.6,2,0.92,-0.29375,0.0675,2
-99.751,-64.07,-99.888,-99.618,2,0.925,-0.28375,0.1275,2
-99.617,-62.808,-99.702,-97.534,2,0.92344,-0.22656,0.20156,2
-99.312,-62.475,-99.623,-94.638,2,0.91656,-0.26563,0.085938,2
-98.965,-63.178,-99.679,-91.344,2,0.88438,-0.27292,0.20833,2
-98.691,-64.843,-99.849,-88.12,2,0.85958,-0.41729,0.17958,2
-98.564,-67.18,-100.07,-85.431,2,0.375,-0.78344,0.0009375,2
-98.61,-69.714,-100.27,-83.673,2,0.925,-0.43125,-0.015365,2
-98.814,-71.883,-100.37,-83.111,2,0.80365,-0.47187,0.20156,2
-99.132,-73.178,-100.34,-83.835,2,0.56979,-0.72083,-0.066667,2
-99.506,-73.285,-100.18,-85.728,2,-0.070833,-0.82708,-0.26146,2
-99.877,-72.185,-99.965,-88.468,2,-0.055469,-0.65312,-0.66016,2
-100.19,-70.173,-99.757,-91.567,2,-0.13229,-0.72188,-0.50313,2
-100.41,-67.79,-99.636,-94.446,2,-0.25469,-0.49375,-0.73594,2
-100.51,-65.676,-99.645,-96.547,2,-0.16875,-0.82969,-0.22969,2
-100.48,-64.397,-99.782,-97.444,2,0.060417,-0.96042,-0.1875,2
-100.33,-64.29,-99.999,-96.95,2,-0.27313,-0.88813,-0.053125,2
-100.11,-65.369,-100.22,-95.17,2,-0.15125,-0.865,0.245,2
-99.862,-67.322,-100.36,-92.496,2,-0.0015625,-0.99688,0.31797,2
-99.658,-69.604,-100.37,-89.531,2,-0.21979,-0.85677,0.32135,2
-99.551,-71.581,-100.25,-86.952,2,-0.096094,-0.89609,-0.009375,2
-99.575,-72.701,-100.04,-85.352,2,-0.19375,-0.83828,-0.46328,2
-99.726,-72.633,-99.807,-85.089,2,-0.26104,-0.68938,-0.58458,2
-99.966,-71.341,-99.644,-86.19,2,-0.35365,-0.61302,-0.61354,2
-100.22,-69.084,-99.608,-88.341,2,-0.39219,-0.65625,-0.44141,2
-100.42,-66.339,-99.714,-90.954,2,0.49583,-0.57646,-0.38042,2
-100.49,-63.681,-99.925,-93.319,2,0.9151,-0.22083,0.39948,2
-100.39,-61.656,-100.17,-94.782,2,1.0201,-0.33203,0.020573,2
-100.17,-60.668,-100.35,-94.918,2,0.96125,-0.21625,0.305,2
-99.878,-60.907,-100.41,-93.642,2,0.9875,-0.3425,0.0775,2
-99.614,-62.327,-100.32,-91.235,2,0.84141,-0.24687,0.36016,2
-99.469,-64.665,-100.11,-88.277,2,1.0106,-0.25688,0.070625,2
-99.499,-67.493,-99.857,-85.501,2,1.0406,-0.15104,0.29896,2
-99.703,-70.289,-99.647,-83.609,2,0.98359,-0.25234,0.049219,2
-100.02,-72.519,-99.561,-83.104,2,0.90104,-0.23594,0.27734,2
-100.35,-73.721,-99.634,-84.165,2,0.91458,-0.26042,0.16667,2
-100.58,-73.594,-99.843,-86.615,2,0.85547,-0.23047,0.32813,2
-100.61,-72.063,-100.12,-89.967,2,0.88938,-0.27875,0.10187,2
-100.44,-69.326,-100.35,-93.549,2,0.91875,-0.19896,0.28646,2
-100.09,-65.857,-100.47,-96.657,2,0.94531,-0.23281,0.11563,2
-99.69,-62.343,-100.42,-98.717,2,0.88125,-0.22656,0.33906,2
-99.365,-59.568,-100.21,-99.4,2,0.90781,-0.36094,0.0375,2
-99.238,-58.247,-99.913,-98.681,2,0.89875,-0.245,0.2675,2
-99.374,-58.841,-99.642,-96.82,2,0.94219,-0.23594,0.12969,2
-99.75,-61.414,-99.492,-94.297,2,0.96667,-0.08125,0.18958,2
-100.26,-65.559,-99.525,-91.694,2,0.94781,-0.22094,0.12812,2
-100.75,-70.446,-99.735,-89.575,2,0.92344,-0.22422,0.24063,2
-101.04,-74.983,-100.05,-88.373,2,0.92396,-0.23125,0.19583,2
-100.99,-78.071,-100.37,-88.311,2,0.90729,-0.15625,0.2901,2
-100.56,-78.891,-100.56,-89.358,2,0.95906,-0.26281,0.095,2
-99.801,-77.141,-100.55,-91.244,2,0.88516,-0.25938,0.26797,2
-98.85,-73.158,-100.34,-93.505,2,0.94427,-0.27292,0.10625,2
-97.902,-67.872,-99.987,-95.576,2,0.91,-0.25125,0.24875,2
-97.155,-62.597,-99.618,-96.897,2,0.935,-0.235,0.17625,2
-96.76,-58.702,-99.369,-97.042,2,0.95469,-0.19219,0.20938,2
-96.779,-57.247,-99.34,-95.816,2,0.87813,-0.1974,0.2474,2
-97.179,-58.691,-99.558,-93.329,2,0.90799,-0.18472,0.28437,2
-97.846,-62.746,-99.959,-90.007,2,0.95078,-0.18906,0.15625,2
-98.62,-68.433,-100.41,-86.534,2,0.93333,-0.1099,0.24635,2
-99.339,-74.336,-100.74,-83.721,2,0.925,-0.24922,0.18984,2
-99.881,-78.97,-100.82,-82.328,2,0.85764,-0.21694,0.28208,2
-100.19,-81.185,-100.6,-82.866,2,0.98333,-0.34583,0.069792,2
-100.27,-80.475,-100.12,-85.431,2,0.93385,-0.32865,0.11354,2
-100.19,-77.115,-99.545,-89.612,2,0.91979,-0.29427,0.10729,2
-100.05,-72.085,-99.071,-94.52,2,0.92005,-0.28073,0.28672,2
-99.923,-66.807,-98.892,-98.928,2,0.93625,-0.33375,0.10875,2
-99.873,-62.76,-99.118,-101.52,2,0.85208,-0.22917,0.32917,2
-99.915,-61.101,-99.726,-101.2,2,0.8675,-0.41125,0.10875,2
-100.02,-62.377,-100.55,-97.331,2,0.9625,-0.35208,0.06875,2
-100.14,-66.422,-101.33,-89.986,2,0.61406,-0.48594,-0.24375,2
-100.18,-72.44,-101.76,-79.939,2,0.99875,-0.41125,0.1425,2
-100.1,-79.261,-101.58,-68.562,2,0.9974,-0.26615,0.066667,2
-99.821,-85.67,-100.68,-57.552,4,0.7175,-0.625,-0.09375,4
-99.331,-90.72,-99.106,-48.58,4,0.71667,-0.62292,-0.09375,4
-98.638,-93.94,-97.092,-42.929,4,0.71562,-0.625,-0.0875,4
-97.795,-95.387,-94.984,-41.222,4,0.84062,-0.58125,-0.0015625,4
-96.898,-95.544,-93.165,-43.305,4,0.80703,-0.31016,0.17031,4
-96.076,-95.104,-91.959,-48.308,4,1.0152,-0.23242,-0.00625,4
-95.484,-94.729,-91.549,-54.871,4,0.90833,-0.3,0.24792,4
