Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room,AccX,AccY,AccZ,Activity
-89.806,-75.494,-84.367,-96.852,2,-0.034375,-0.11875,-0.91875,2
-94.372,-69.079,-91.418,-98.496,2,-0.03125,-0.125,-0.93125,2
-98.205,-64.619,-97.247,-99.749,2,0.07,-0.42375,-0.70875,2
-100.87,-62.574,-101.24,-100.54,2,0.070313,-0.81406,-0.43281,2
-102.19,-62.87,-103.2,-100.88,2,-0.057813,-0.76563,-0.51563,2
-102.3,-64.944,-103.36,-100.83,2,0.067969,-0.79453,-0.48984,2
-101.54,-67.913,-102.26,-100.5,2,0.039583,-0.76458,-0.49167,2
-100.41,-70.827,-100.63,-100.03,2,0.12031,-0.84219,-0.38516,2
-99.369,-72.918,-99.139,-99.588,2,0.09375,-0.80234,-0.425,2
-98.748,-73.789,-98.253,-99.296,2,0.20313,-0.85104,-0.33958,2
-98.685,-73.48,-98.154,-99.248,2,0.17083,-0.72917,-0.53125,2
-99.109,-72.403,-98.735,-99.468,2,0.23281,-0.74687,-0.44375,2
-99.797,-71.171,-99.682,-99.908,2,0.1875,-0.775,-0.49375,2
-100.47,-70.383,-100.61,-100.45,2,0.18438,-0.78281,-0.41563,2
-100.89,-70.429,-101.19,-100.93,2,0.125,-0.7925,-0.48125,2
-100.94,-71.375,-101.28,-101.15,2,0.31562,-0.75313,-0.46875,2
-100.64,-72.964,-100.89,-100.97,2,0.13333,-0.7388,-0.55052,2
-100.13,-74.721,-100.22,-100.26,2,0.28516,-0.80156,-0.35234,2
-99.622,-76.123,-99.54,-99.012,2,0.13203,-0.7625,-0.49219,2
-99.293,-76.776,-99.093,-97.277,2,0.24375,-0.68542,-0.48229,2
-99.25,-76.538,-99.016,-95.197,2,0.70208,-0.76458,0.041667,2
-99.488,-75.555,-99.304,-92.963,2,0.9375,-0.2875,-0.15,2
-99.898,-74.19,-99.822,-90.774,2,1.0063,-0.15208,-0.2375,2
-100.32,-72.893,-100.36,-88.812,2,0.95313,-0.12344,-0.15937,2
-100.6,-72.036,-100.73,-87.207,2,0.9775,-0.13625,-0.145,2
-100.64,-71.785,-100.81,-86.028,2,0.98516,-0.08125,-0.21562,2
-100.44,-72.049,-100.58,-85.287,2,0.91146,-0.093229,-0.23099,2
-100.08,-72.514,-100.16,-84.953,2,0.97073,-0.16938,-0.10396,2
-99.719,-72.761,-99.702,-84.972,2,0.99167,-0.15469,-0.15208,2
-99.476,-72.411,-99.381,-85.285,2,0.96562,-0.00052083,-0.12839,2
-99.439,-71.262,-99.305,-85.837,2,0.92891,-0.31328,-0.30703,2
-99.613,-69.361,-99.488,-86.576,2,0.97891,-0.033594,-0.084375,2
-99.925,-66.995,-99.85,-87.45,2,1.0078,-0.1875,-0.14766,2
-100.25,-64.6,-100.25,-88.392,2,1.0146,-0.0875,-0.083333,2
-100.48,-62.629,-100.54,-89.32,2,0.88958,-0.12639,-0.15243,2
-100.51,-61.409,-100.62,-90.136,2,0.99427,-0.18646,-0.17604,2
-100.35,-61.053,-100.46,-90.747,2,1.0065,-0.19167,-0.19141,2
-100.07,-61.436,-100.15,-91.077,2,0.98562,-0.12031,-0.10813,2
-99.765,-62.25,-99.789,-91.091,2,0.91667,-0.17083,-0.14167,2
-99.557,-63.117,-99.523,-90.805,2,0.96719,-0.090625,-0.13594,2
-99.522,-63.715,-99.441,-90.285,2,0.94063,-0.15937,-0.071875,2
-99.667,-63.875,-99.569,-89.635,2,0.94844,-0.13437,-0.14688,2
-99.935,-63.617,-99.852,-88.967,2,0.94219,-0.1,-0.15625,2
-100.22,-63.129,-100.18,-88.375,2,0.94875,-0.14729,-0.11313,2
-100.42,-62.674,-100.43,-87.911,2,0.98344,-0.13344,-0.10125,2
-100.46,-62.487,-100.52,-87.578,2,0.97656,-0.22031,-0.071354,2
-100.32,-62.683,-100.41,-87.336,2,1.0688,-0.28437,-0.17188,2
-100.06,-63.217,-100.15,-87.121,2,1.0328,-0.10365,-0.12396,2
-99.785,-63.905,-99.844,-86.881,2,0.99375,-0.19375,-0.10833,2
-99.593,-64.494,-99.602,-86.592,2,0.96094,-0.11563,-0.17943,2
-99.556,-64.767,-99.513,-86.279,2,0.97687,-0.0575,-0.14813,2
-99.689,-64.626,-99.606,-86.008,2,0.9625,-0.2276,-0.078646,2
-99.939,-64.143,-99.844,-85.869,2,1.0685,-0.11302,-0.13854,2
-100.21,-63.541,-100.13,-85.938,2,1.0375,-0.13021,-0.13396,2
-100.4,-63.128,-100.37,-86.252,2,0.975,-0.19844,-0.16328,2
-100.44,-63.194,-100.47,-86.789,2,1,-0.18125,-0.075,2
-100.31,-63.912,-100.39,-87.461,2,1.0083,-0.19167,-0.10625,2
-100.06,-65.275,-100.16,-88.14,2,0.99792,-0.028125,-0.025,2
-99.79,-67.091,-99.883,-88.688,2,0.91771,-0.15313,-0.13875,2
-99.598,-69.032,-99.65,-88.999,2,1.0453,-0.15755,-0.072135,2
-99.56,-70.729,-99.549,-89.029,2,0.95292,-0.16229,-0.095208,2
-99.689,-71.875,-99.617,-88.81,2,0.87708,-0.61615,0.064583,2
-99.939,-72.3,-99.828,-88.44,2,0.16625,-0.82375,-0.39,2
-100.21,-72.012,-100.1,-88.054,2,0.15125,-0.745,-0.54375,2
-100.41,-71.168,-100.34,-87.782,2,0.125,-0.75625,-0.5474,2
