Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room,AccX,AccY,AccZ,Activity
-100,-51.417,-100,-100,2,-0.034375,-0.11875,-0.91875,2
-100,-54.976,-100,-100,2,-0.03125,-0.125,-0.93125,2
-100,-57.042,-100,-98.083,2,0.07,-0.42375,-0.70875,2
-100,-58.926,-100,-96.63,2,0.070313,-0.81406,-0.43281,2
-100,-60.867,-100,-95.667,2,-0.057813,-0.76563,-0.51563,2
-100,-61.848,-100,-96.061,2,0.067969,-0.79453,-0.48984,2
-100,-65.28,-100,-96.061,2,0.039583,-0.76458,-0.49167,2
-100,-67.258,-100,-96.061,2,0.12031,-0.84219,-0.38516,2
-100,-66.985,-100,-96.061,2,0.09375,-0.80234,-0.425,2
-100,-67.267,-100,-96.061,2,0.20313,-0.85104,-0.33958,2
-100,-67.948,-100,-96.061,2,0.17083,-0.72917,-0.53125,2
-100,-68.335,-100,-95.091,2,0.23281,-0.74687,-0.44375,2
-100,-68.259,-100,-93.727,2,0.1875,-0.775,-0.49375,2
-100,-68.986,-100,-93.985,2,0.18438,-0.78281,-0.41563,2
-100,-69.986,-100,-93.106,2,0.125,-0.7925,-0.48125,2
-100,-69.895,-100,-94.288,2,0.31562,-0.75313,-0.46875,2
-100,-70.63,-100,-94.288,2,0.13333,-0.7388,-0.55052,2
-100,-71.35,-100,-94.288,2,0.28516,-0.80156,-0.35234,2
-100,-72.895,-100,-94.288,2,0.13203,-0.7625,-0.49219,2
-100,-73.241,-100,-94.288,2,0.24375,-0.68542,-0.48229,2
-100,-73.959,-100,-93.061,2,0.70208,-0.76458,0.041667,2
-100,-73.868,-100,-91.364,2,0.9375,-0.2875,-0.15,2
-98.727,-74.164,-100,-90.879,2,1.0063,-0.15208,-0.2375,2
-98.727,-74.027,-100,-90.788,2,0.95313,-0.12344,-0.15937,2
-98.727,-73.777,-100,-90.682,2,0.9775,-0.13625,-0.145,2
-98.727,-71.573,-100,-91.242,2,0.98516,-0.08125,-0.21562,2
-98.727,-69.747,-100,-90.97,2,0.91146,-0.093229,-0.23099,2
-98.727,-67.861,-100,-90.379,2,0.97073,-0.16938,-0.10396,2
-98.727,-66.679,-100,-90.379,2,0.99167,-0.15469,-0.15208,2
-98.955,-67.338,-100,-88.955,2,0.96562,-0.00052083,-0.12839,2
-98.136,-69.424,-100,-87.818,2,0.92891,-0.31328,-0.30703,2
-98.136,-69.333,-100,-87.53,2,0.97891,-0.033594,-0.084375,2
-98.136,-68.988,-100,-87.568,2,1.0078,-0.1875,-0.14766,2
-99.409,-67.352,-100,-89.023,2,1.0146,-0.0875,-0.083333,2
-99.409,-66.102,-100,-90.477,2,0.88958,-0.12639,-0.15243,2
-99.409,-64.056,-100,-91.72,2,0.99427,-0.18646,-0.17604,2
-99.409,-63.579,-100,-93.402,2,1.0065,-0.19167,-0.19141,2
-99.409,-63.374,-100,-91.947,2,0.98562,-0.12031,-0.10813,2
-99.409,-65.411,-100,-91.477,2,0.91667,-0.17083,-0.14167,2
-99.409,-66.859,-100,-90.023,2,0.96719,-0.090625,-0.13594,2
-99.273,-66.086,-100,-89.97,2,0.94063,-0.15937,-0.071875,2
-100.09,-64.745,-100,-90.061,2,0.94844,-0.13437,-0.14688,2
