Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room,AccX,AccY,AccZ,Activity
-70,-100,-68.75,-88,1,-0.086111,-0.27222,0.75694,1
-70,-100,-69.125,-87.5,1,-0.20865,-0.52438,0.82906,1
-70,-100,-69.5,-87,1,-0.21736,-0.50486,0.84132,1
-70.8,-100,-69.583,-86.5,1,-0.21875,-0.5,0.84375,1
-71.6,-100,-69.667,-87,1,-0.22205,-0.49861,0.84323,1
-71.8,-100,-70.033,-87.167,1,-0.2376,-0.49771,0.84208,1
-72,-100,-70.4,-87.333,1,-0.24983,-0.45156,0.86476,1
-72,-100,-70.367,-87.167,1,-0.24687,-0.4501,0.87594,1
-72,-100,-70.333,-87.333,1,-0.24785,-0.41736,0.87833,1
-72.2,-100,-70.367,-87.667,1,-0.24896,-0.43854,0.87396,1
-72,-100,-70.4,-87.333,1,-0.23958,-0.42333,0.88236,1
-72.4,-100,-70.4,-88,1,0.0015278,0.082431,0.87896,1
-74.5,-100,-70.667,-88,1,0.63646,-0.22847,0.75868,1
-74.5,-100,-70.75,-88,1,0.6625,-0.22812,0.71563,1
-74.5,-100,-71.2,-88,1,0.66559,-0.21753,0.71184,1
-74.2,-100,-73.75,-88.667,1,0.66712,-0.22038,0.71222,1
-74.2,-100,-74.333,-88,1,0.6658,-0.21979,0.70833,1
-74.5,-100,-74.333,-87.333,1,0.66528,-0.225,0.70278,1
-75,-100,-74.4,-87,1,0.67622,-0.2217,0.69931,1
-75.5,-100,-75.75,-87,1,0.68229,-0.2159,0.69587,1
-75,-100,-75.75,-87,1,0.68403,-0.21875,0.69583,1
-75.5,-100,-75.75,-87,1,0.68099,-0.21745,0.69063,1
-75.5,-100,-75.75,-87,1,0.68125,-0.22188,0.6941,1
-75.5,-100,-75.6,-87,1,0.35156,-0.011979,0.93438,1
-75.5,-100,-75.6,-87.333,1,0.17708,0.50198,0.74167,1
-75.5,-100,-75.6,-87.333,1,0.10833,0.50729,0.81146,1
-75.5,-100,-75.6,-87,1,0.40521,-0.12813,0.80521,1
-76.5,-100,-74.5,-87,1,0.22639,-0.21458,1.0271,1
-76.5,-100,-75.6,-87.333,1,0.27021,-0.36771,0.90771,1
-77.4,-100,-75.75,-87.333,1,0.27073,-0.36677,0.90625,1
-77.4,-100,-76.5,-87,1,0.265,-0.37111,0.90625,1
-77.4,-100,-75.75,-87.333,1,0.26701,-0.37049,0.90573,1
-77.6,-100,-75.75,-87.333,1,0.26441,-0.36684,0.90434,1
-77.6,-100,-76.5,-87.333,1,0.26608,-0.36906,0.90625,1
-77.6,-100,-75.75,-87.333,1,0.26128,-0.36753,0.90625,1
-77.6,-100,-75.75,-87.333,1,0.26826,-0.36514,0.90625,1
-77.6,-100,-75.6,-87.333,1,0.26844,-0.36823,0.90625,1
-77.6,-100,-75.25,-87.5,1,0.26372,-0.36667,0.90451,1
-77.6,-100,-75.25,-87.5,1,0.26875,-0.35958,0.90958,1
-77.4,-100,-75.25,-87.5,1,0.26424,-0.36528,0.90625,1
-77.4,-100,-74.5,-87.667,1,0.26875,-0.36875,0.90625,1
-77.4,-100,-73.5,-87.5,1,0.2625,-0.37431,0.90625,1
-77,-100,-73.4,-87.5,1,0.26799,-0.36806,0.90625,1
-76.75,-100,-73.4,-87.667,1,0.26583,-0.37125,0.90479,1
-77,-100,-75.25,-87.75,1,0.10646,-0.71917,0.56271,1
-77,-100,-75.25,-87.75,1,0.0375,-0.89016,0.35359,1
-77,-100,-75.25,-88.333,1,-0.026562,-0.91016,0.25703,1
-76.75,-100,-76.5,-88.333,1,0.29021,-0.74167,0.52312,1
-76.667,-100,-77.5,-88.333,1,0.16813,-0.31229,0.91063,1
-76.2,-100,-78.5,-88.333,1,0.2033,-0.32153,0.95243,1
-75.5,-100,-78.667,-87.75,1,-0.19349,-0.37187,0.66172,1
-75,-100,-78.667,-87.75,1,-0.12708,-0.31111,0.71389,1
-75,-100,-78.8,-88.333,1,-0.075069,0.2516,0.98191,1
-72.2,-100,-79,-87.75,1,-0.10456,0.81528,0.51597,1
-69.4,-100,-79.25,-87.75,1,-0.10174,0.71632,0.66319,1
-69.4,-100,-79.5,-87.75,1,-0.21146,0.64965,0.65694,1
-72,-100,-80,-87.75,1,0.084514,0.23056,0.95681,1
-72,-100,-80,-87.75,1,-0.70573,-0.12656,0.65625,1
-72,-100,-80,-87.75,1,-0.7434,-0.13281,0.65104,1
-71.8,-100,-80,-87.75,1,-0.71979,-0.15312,0.67188,1
-71.8,-100,-80,-88.333,1,-0.71875,-0.16484,0.65625,1
-71.8,-100,-80.25,-87.75,1,-0.72552,-0.1651,0.66059,1
-71.8,-100,-80.286,-88.333,1,-0.72021,-0.16594,0.66062,1
-71.667,-100,-80.667,-87.75,1,-0.72049,-0.16823,0.65729,1
-71.667,-100,-80.667,-87.75,1,-0.71875,-0.15868,0.65833,1
-71.667,-100,-83,-87.75,1,-0.71875,-0.16302,0.65885,1
-71.667,-100,-84,-88.333,1,-0.65052,0.11042,0.65104,1
-71.667,-100,-84.5,-88.5,1,-0.19097,0.55451,0.84861,1
-71.75,-100,-84.5,-91.5,1,-0.041146,0.19906,1.0006,1
-71.8,-100,-84.5,-91.5,1,-0.032083,0.23354,0.9875,1
-72,-100,-84.5,-93,1,-0.12479,0.43552,0.89885,1
-73,-100,-84,-95,1,-0.27726,0.48958,0.8191,1
-74,-100,-83,-95,1,-0.53281,0.68958,-0.35052,1
-74,-100,-81,-95,1,-0.575,0.41736,-0.65556,1
-74,-100,-80.667,-95,1,-0.45069,0.69601,-0.29896,1
-74,-100,-80.5,-95,1,-0.28229,0.77552,-0.32552,1
-74.6,-100,-80.25,-95,1,-0.067448,0.84948,-0.3901,1
-74.6,-100,-79.6,-93,1,0.12578,0.86797,-0.13781,1
-74.6,-100,-79.6,-93,1,0.1125,0.80937,0.13437,1
-74,-100,-77,-88,1,-0.42422,0.72656,-0.0049479,1
-74,-100,-77,-86,1,-0.58906,0.61187,0.46063,1
-74.8,-100,-75.333,-85.75,1,0.15903,0.31667,0.75486,1
-74.8,-100,-75,-85.667,1,0.31875,-0.17944,0.91208,1
-74,-100,-74.5,-85.667,1,0.58323,-0.18271,0.79604,1
-74,-100,-74.5,-85.667,1,0.62111,-0.24819,0.75153,1
-74.8,-100,-74.5,-85.667,1,0.61024,-0.25,0.75,1
-74.8,-100,-74,-85.333,1,0.61441,-0.25243,0.74687,1
-74,-100,-74,-85.333,1,0.60972,-0.25729,0.74844,1
-74,-100,-72.5,-85.25,1,0.60944,-0.25931,0.74917,1
-73.4,-100,-72.333,-85,1,0.60833,-0.25677,0.75208,1
-73.333,-100,-72.333,-85,1,0.61285,-0.27014,0.75677,1
-73.333,-100,-72.333,-85,1,0.61073,-0.25344,0.75,1
-73.333,-100,-72.5,-84.333,1,0.60764,-0.25208,0.75,1
-73.333,-100,-72.8,-84.333,1,0.60677,-0.25521,0.75,1
-73.333,-100,-73.5,-84,1,0.61094,-0.25938,0.74844,1
-73.4,-100,-73.5,-84,1,0.61753,-0.26059,0.74236,1
-74,-100,-73.5,-84,1,0.61969,-0.2649,0.74667,1
-74,-100,-72.8,-83.8,1,0.62378,-0.26649,0.74444,1
-74,-100,-73.5,-83.667,1,0.62094,-0.2701,0.74458,1
-74,-100,-73.5,-83.667,1,0.62378,-0.27309,0.74687,1
-75,-100,-73.5,-83,1,0.61997,-0.2651,0.7408,1
-75.5,-100,-73.5,-82.75,1,0.61701,-0.27028,0.74375,1
-75.5,-100,-73.5,-82.5,1,0.62191,-0.2709,0.74632,1
-75,-100,-73.5,-82.5,1,0.61927,-0.26083,0.74375,1
-75.5,-100,-73.5,-82,1,0.62094,-0.27521,0.7375,1
-75.667,-100,-73.5,-81.75,1,0.62292,-0.2658,0.73681,1
-75.5,-100,-72.8,-81.75,1,0.6224,-0.26354,0.74306,1
-75,-100,-72.333,-81.75,1,0.61684,-0.26597,0.75,1
-75,-100,-72.333,-81.75,1,0.61875,-0.26875,0.74306,1
-74,-100,-72.8,-81.75,1,0.62097,-0.26313,0.74306,1
-74,-100,-73,-81.25,1,0.61875,-0.26146,0.75,1
-75,-100,-73,-81.25,1,0.62115,-0.26052,0.74854,1
-75.5,-100,-73,-81.25,1,0.62208,-0.25806,0.74708,1
-75.75,-100,-73,-81.75,1,0.62167,-0.2324,0.72875,1
-77,-100,-73.4,-81.75,1,0.68781,-0.19854,0.71437,1
-77,-100,-73.4,-81.75,1,0.66892,-0.25024,0.69392,1
-78.25,-100,-73.6,-81.75,1,0.68177,-0.25312,0.68542,1
-79,-100,-73.6,-82,1,0.675,-0.24688,0.68906,1
-79.5,-100,-74.8,-82,1,0.66771,-0.25104,0.69958,1
-80.25,-100,-75,-82.75,1,0.68521,-0.24271,0.68604,1
-80.5,-100,-76.6,-82.75,1,0.6625,-0.24677,0.68885,1
-99,-71.8,-100,-82.75,2,-0.016875,0.32688,-0.87187,2
-100,-71.2,-100,-88.667,2,-0.0015625,0.33437,-0.87656,2
-100,-71.2,-100,-88.667,2,-0.009375,0.35313,-0.86875,2
-100,-71.2,-100,-88.667,2,0,0.35,-0.87813,2
-100,-71.2,-100,-88.667,2,-0.00625,0.3275,-0.8725,2
-100,-70.25,-100,-89,2,0.89688,0.34188,-0.19062,2
-100,-70.2,-100,-90.5,2,0.94,0.16375,0.0825,2
-100,-69,-100,-91.5,2,1.0271,0.21484,-0.04974,2
-100,-68.75,-100,-92,2,0.99427,0.14708,0.10135,2
-100,-68.75,-100,-92.333,2,1.1516,0.25938,-0.16875,2
-100,-68,-100,-93.333,2,0.97578,0.33828,-0.041406,2
-100,-68.75,-100,-92.333,2,1.0647,0.20219,-0.074375,2
-100,-69,-100,-92,2,1.005,0.2875,-0.12042,2
-100,-70.2,-100,-91.5,2,0.95531,0.20063,-0.090938,2
-100,-70.2,-100,-91.5,2,0.97578,0.17266,0.0375,2
-100,-70.25,-100,-90.5,2,0.99906,0.25594,-0.036562,2
-100,-71.2,-100,-90.5,2,0.93437,0.1925,0.0775,2
-100,-71.2,-100,-90,2,0.77839,0.48906,-0.017969,2
-100,-71.2,-100,-90,2,1.0906,0.36771,0.020573,2
-100,-71.2,-100,-89.333,2,1.0203,0.44219,-0.11875,2
-100,-72,-100,-89.333,2,1.0188,0.3625,-0.06,2
-100,-72,-100,-89,2,0.9724,0.33802,-0.2224,2
-100,-73.25,-100,-88,2,0.9225,0.41125,-0.0125,2
-100,-73.25,-100,-88,2,0.98281,0.21187,-0.067187,2
-100,-72,-100,-86.75,2,0.94688,0.23688,-0.035,2
-100,-72.25,-100,-89.333,2,0.93583,0.15813,0.032708,2
-100,-72.25,-100,-89.333,2,0.93438,0.22847,-0.091667,2
-100,-73.25,-100,-89.333,2,0.65547,0.64297,-0.046875,2
-100,-73.25,-100,-89.333,2,-0.04375,0.90312,-0.32917,2
-100,-73.25,-100,-89.333,2,-0.092188,0.81979,-0.44948,2
-100,-72.25,-100,-89.333,2,0.034375,0.87187,0.066667,2
-100,-72.25,-100,-89.333,2,0.0023437,0.87266,0.37266,2
-100,-72.25,-100,-89.333,2,-0.015156,0.80547,0.45281,2
-100,-72.25,-100,-91,2,0.010625,0.82333,0.51687,2
-100,-71.8,-100,-91,2,-0.11016,0.91719,-0.25938,2
-100,-72.25,-100,-98,2,-0.053125,0.68437,0.39687,2
