Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room,AccX,AccY,AccZ,Activity
-49.5,-100,-77.25,-74,1,0.78333,-0.54531,-0.016146,1
-48.6,-100,-77,-100,1,0.66688,-0.56906,0.1775,1
-62.2,-100,-88.2,-84.5,1,0.8,-0.4675,0.091875,1
-64.4,-100,-76.667,-100,1,0.165,-0.73979,0.21583,1
-54.333,-100,-69.333,-87,1,-0.28194,-0.73819,0.49444,1
-66,-100,-74.2,-98,1,-0.11667,-0.20583,0.94583,1
-64,-100,-69.6,-86,1,0.004375,-0.13083,1.016,1
-71.5,-100,-69,-92.5,1,-0.027778,-0.14896,1.0139,1
-56.75,-100,-74.25,-102,1,-0.035938,-0.15521,1.0151,1
-63.4,-100,-73.5,-100,1,-0.0375,-0.16031,1.0063,1
-67,-100,-70.4,-89.5,1,-0.049167,-0.15792,1.0052,1
-66,-100,-73.5,-87,1,-0.043125,-0.14854,1.0162,1
-66.25,-100,-70.25,-100,1,-0.05,-0.13906,1.0109,1
-73.25,-100,-72.6,-100,1,-0.017188,-0.13047,1.0231,1
-70.5,-100,-76.6,-85,1,-0.016458,-0.12417,1.0123,1
-72,-100,-69,-100,1,-0.028125,-0.12812,1.0211,1
-74.6,-100,-75,-90,1,-0.03125,-0.12667,1.0215,1
-65.333,-100,-71.6,-100,1,-0.030625,-0.12667,1.0171,1
-65,-100,-74,-100,1,-0.029688,-0.13177,1.0195,1
-67,-100,-74,-88,1,-0.048056,-0.12847,1.0125,1
-66.571,-100,-70.333,-100,1,-0.032589,-0.12351,1.0141,1
-69.5,-100,-71.75,-92.333,1,-0.024653,-0.12049,1.0153,1
-67.2,-100,-84,-100,1,-0.016042,-0.1525,1.051,1
-67,-100,-83,-100,1,-0.21563,-0.14479,0.91771,1
-63.667,-100,-78.4,-100,1,-0.48146,0.020625,0.85271,1
-52.75,-100,-80.25,-91.5,1,-0.53854,-0.078125,0.89479,1
-45,-100,-82.5,-100,1,-0.80516,0.052031,0.19672,1
-58.25,-100,-79.5,-100,1,-0.86172,-0.11484,0.16875,1
-72.75,-100,-74,-100,1,-0.20391,-0.67682,0.81719,1
-77.25,-100,-72.333,-100,1,-0.22057,-0.66146,0.6888,1
-75.667,-100,-72.75,-100,1,-0.21875,-0.68464,0.67318,1
-81.333,-100,-77,-100,1,-0.21667,-0.68021,0.68125,1
-79.333,-100,-69.25,-100,1,-0.20807,-0.67969,0.68151,1
-78,-100,-73.5,-100,1,-0.21734,-0.67703,0.67375,1
-77,-100,-74,-100,1,-0.21875,-0.68594,0.66563,1
-65,-100,-79,-98,1,-0.37396,-0.72917,0.080729,1
-56.75,-100,-82,-100,1,-0.12552,-0.83047,0.18021,1
-64.333,-100,-82.2,-100,1,0.053333,-0.77563,-0.225,1
-63.5,-100,-81.5,-100,1,0.875,-0.26719,0.31875,1
