Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room,AccX,AccY,AccZ,Activity
-75.787,-100.05,-80.103,-84.166,1,0.099653,0.85799,0.26944,1
-73.62,-99.821,-81.482,-85.371,1,0.87344,0.54479,0.18437,1
-71.36,-99.528,-82.159,-86.514,1,0.67969,0.5974,0.15937,1
-69.197,-99.221,-82.199,-87.419,1,-0.0017361,0.77049,0.59097,1
-67.383,-98.948,-81.763,-87.951,1,0.053333,0.41972,0.95806,1
-66.165,-98.737,-81.062,-88.046,1,-0.0083333,0.39139,0.92819,1
-65.711,-98.586,-80.296,-87.732,1,-0.0051389,0.38649,0.92066,1
-66.05,-98.469,-79.621,-87.124,1,-0.065799,0.5276,0.86233,1
-67.047,-98.344,-79.128,-86.41,1,-0.054583,0.6125,0.79396,1
-68.429,-98.171,-78.84,-85.808,1,0.15729,-0.18437,0.94937,1
-69.848,-97.93,-78.735,-85.522,1,0.21141,-0.16922,0.94344,1
-70.975,-97.625,-78.76,-85.7,1,-0.25486,0.70833,0.60608,1
-71.583,-97.289,-78.856,-86.397,1,-0.34146,0.76583,0.46646,1
-71.608,-96.963,-78.962,-87.568,1,-0.26745,0.81979,0.43047,1
-71.162,-96.688,-79.022,-89.068,1,-0.30219,0.81094,0.44125,1
-70.49,-96.484,-78.979,-90.687,1,-0.28056,0.8,0.47917,1
-69.9,-96.346,-78.783,-92.189,1,-0.32161,0.85521,0.34609,1
-69.669,-96.24,-78.394,-93.359,1,-0.2225,0.77625,0.4975,1
-69.965,-96.123,-77.797,-94.042,1,-0.10391,0.63125,0.7349,1
-70.803,-95.954,-77.02,-94.17,1,-0.33208,0.73958,0.65865,1
-72.046,-95.712,-76.137,-93.767,1,-0.27813,0.57813,0.77969,1
-73.455,-95.403,-75.266,-92.937,1,-0.27188,0.56458,0.78125,1
-74.758,-95.059,-74.547,-91.84,1,-0.28069,0.54139,0.79542,1
-75.725,-94.726,-74.105,-90.653,1,-0.21597,0.32847,0.93611,1
-76.23,-94.445,-74.018,-89.543,1,-0.21875,0.32694,0.93861,1
-76.269,-94.24,-74.284,-88.641,1,-0.21875,0.32222,0.9375,1
-75.947,-94.104,-74.818,-88.03,1,-0.22135,0.3125,0.93906,1
-75.435,-94.005,-75.469,-87.742,1,-0.21875,0.31458,0.94063,1
-74.914,-93.896,-76.058,-87.771,1,-0.21875,0.31375,0.93875,1
-74.528,-93.734,-76.434,-88.075,1,-0.21875,0.31361,0.945,1
-74.352,-93.494,-76.519,-88.597,1,-0.21875,0.31344,0.93938,1
-74.396,-93.183,-76.329,-89.265,1,-0.21875,0.31417,0.9375,1
-74.617,-92.832,-75.974,-90.002,1,-0.21875,0.3125,0.9375,1
-74.958,-92.49,-75.618,-90.729,1,-0.21875,0.31125,0.9375,1
-75.367,-92.202,-75.427,-91.367,1,-0.21958,0.31403,0.93833,1
-75.815,-91.994,-75.509,-91.849,1,-0.21875,0.31875,0.94115,1
-76.289,-91.86,-75.871,-92.127,1,-0.21875,0.32674,0.94271,1
-76.779,-91.769,-76.417,-92.181,1,-0.21875,0.33,0.94,1
-77.255,-91.669,-76.969,-92.027,1,-0.2201,0.3301,0.93562,1
-77.659,-91.515,-77.327,-91.716,1,-0.21875,0.32778,0.93854,1
-77.905,-91.279,-77.333,-91.321,1,-0.21875,0.33146,0.93944,1
-77.906,-90.965,-76.928,-90.918,1,-0.21875,0.33486,0.93931,1
-77.596,-90.606,-76.176,-90.569,1,-0.21875,0.33187,0.93722,1
-76.97,-90.253,-75.249,-90.299,1,-0.21875,0.33729,0.93938,1
-76.088,-89.956,-74.381,-90.093,1,-0.21997,0.33976,0.9375,1
-75.079,-89.744,-73.788,-89.896,1,-0.21875,0.33667,0.9375,1
-74.107,-89.614,-73.609,-89.637,1,-0.22097,0.34819,0.9375,1
-73.334,-89.532,-73.852,-89.256,1,-0.21719,0.3349,0.93594,1
-72.871,-89.445,-74.397,-88.727,1,-0.21875,0.33698,0.9349,1
-72.753,-89.301,-75.028,-88.079,1,-0.22187,0.35521,0.92812,1
-72.923,-89.068,-75.504,-87.393,1,-0.22031,0.35,0.92812,1
-73.257,-88.75,-75.634,-86.785,1,-0.22344,0.35781,0.92812,1
-73.597,-88.38,-75.342,-86.368,1,-0.21875,0.34757,0.93368,1
-73.8,-88.013,-74.691,-86.216,1,-0.21597,0.34965,0.92951,1
-73.772,-87.705,-73.87,-86.335,1,-0.21667,0.34757,0.93194,1
-73.499,-87.489,-73.133,-86.652,1,-0.2216,0.35076,0.93222,1
-73.038,-87.364,-72.729,-87.034,1,-0.21875,0.34656,0.93281,1
-72.499,-87.295,-72.823,-87.323,1,-0.21875,0.34826,0.93229,1
-72.012,-87.224,-73.45,-87.388,1,-0.21875,0.35243,0.9276,1
-71.692,-87.092,-74.505,-87.17,1,-0.22153,0.35069,0.93229,1
-71.618,-86.864,-75.771,-86.709,1,-0.21528,0.34896,0.93021,1
-71.823,-86.539,-76.987,-86.139,1,-0.21875,0.35292,0.9316,1
-72.3,-86.154,-77.915,-85.645,1,-0.22396,0.3625,0.92188,1
-73.015,-85.769,-78.396,-85.406,1,-0.22813,0.35521,0.92396,1
-73.92,-85.447,-78.388,-85.53,1,-0.23516,0.34609,0.92578,1
-74.953,-85.226,-77.954,-86.003,1,-0.26573,0.4049,0.91281,1
-76.039,-85.109,-77.236,-86.68,1,0.074479,0.60451,0.72622,1
-77.076,-85.057,-76.398,-87.316,1,-0.18437,0.60347,0.70694,1
-77.932,-85.008,-75.582,-87.637,1,-0.26833,0.38542,0.91625,1
-78.452,-84.894,-74.88,-87.428,1,-0.24427,0.33507,0.94462,1
-78.485,-84.671,-74.325,-86.618,1,-0.18917,0.23313,0.96583,1
-77.914,-84.337,-73.914,-85.321,1,-0.19132,0.23507,0.96875,1
-76.704,-83.93,-73.632,-83.833,1,-0.1875,0.24083,0.96958,1
-74.93,-83.519,-73.481,-82.563,1,-0.19687,0.24757,0.96875,1
-72.782,-83.176,-73.495,-81.928,1,-0.24281,0.36479,0.95135,1
-70.539,-82.948,-73.724,-82.226,1,-0.50625,-0.41094,0.17031,1
-68.516,-82.843,-74.216,-83.539,1,0.31479,-0.80646,0.37833,1
-66.995,-82.818,-74.973,-85.685,1,0.24375,-0.79219,0.42891,1
-66.152,-82.8,-75.931,-88.246,1,-0.030903,-0.86319,-0.30174,1
-66.019,-82.711,-76.95,-90.659,1,-0.38938,-0.82264,0.24042,1
-66.477,-82.496,-77.837,-92.365,1,-0.39333,-0.84187,0.20396,1
-67.296,-82.147,-78.386,-92.955,1,-0.37844,-0.82958,0.17135,1
-68.201,-81.708,-78.434,-92.292,1,-0.37812,-0.85391,0.092969,1
-68.957,-81.258,-77.911,-90.557,1,-0.35417,-0.825,0.075,1
-69.429,-80.884,-76.866,-88.212,1,-0.49141,0,0.41875,1
-69.618,-80.648,-75.462,-85.883,1,-0.1499,0.30649,0.91594,1
-69.643,-80.559,-73.944,-84.2,1,-0.1566,0.086979,1.0083,1
-69.687,-80.574,-72.577,-83.628,1,-0.15625,0.09375,1.0057,1
-69.917,-80.605,-71.585,-84.343,1,-0.15625,0.09375,1.0047,1
-70.42,-80.555,-71.099,-86.189,1,-0.15625,0.09375,1.0087,1
-71.153,-80.352,-71.135,-88.721,1,-0.15625,0.091875,1.0067,1
-71.958,-79.982,-71.601,-91.329,1,-0.15625,0.09375,1.0021,1
-72.606,-79.493,-72.332,-93.4,1,-0.15625,0.09375,1.0094,1
-72.886,-78.981,-73.145,-94.487,1,-0.15625,0.092639,1.0088,1
-72.682,-78.556,-73.884,-94.414,1,-0.15521,0.096528,1.0063,1
-72.036,-78.302,-74.459,-93.314,1,-0.15469,0.097396,1.0063,1
-71.154,-78.24,-74.853,-91.575,1,-0.15042,0.098056,1.0073,1
-70.352,-78.32,-75.108,-89.716,1,-0.14931,0.094861,1.0057,1
-69.971,-78.433,-75.297,-88.237,1,-0.14792,0.1,1.0073,1
-70.265,-78.452,-75.487,-87.477,1,-0.15472,0.10958,1.0072,1
-71.309,-78.276,-75.713,-87.53,1,-0.14833,0.10931,1.0069,1
-72.962,-77.873,-75.977,-88.234,1,-0.15312,0.10625,1.0063,1
-74.882,-77.296,-76.25,-89.24,1,-0.14844,0.10972,1.0016,1
-76.616,-76.67,-76.501,-90.127,1,-0.15521,0.10677,1.0095,1
-77.72,-76.146,-76.721,-90.541,1,-0.15451,0.10556,1.004,1
-77.882,-75.85,-76.935,-90.299,1,-0.15625,0.1125,1.0024,1
-77.014,-75.83,-77.201,-89.442,1,-0.15,0.097917,1.0042,1
