Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room,AccX,AccY,AccZ,Activity
-98.704,-51.417,-99.518,-100,2,-0.034375,-0.11875,-0.91875,2
-98.444,-54.976,-99.421,-98.905,2,-0.03125,-0.125,-0.93125,2
-98.185,-57.042,-99.325,-97.125,2,0.07,-0.42375,-0.70875,2
-97.926,-58.926,-99.229,-95.778,2,0.070313,-0.81406,-0.43281,2
-97.667,-60.867,-99.132,-94.9,2,-0.057813,-0.76563,-0.51563,2
-97.407,-61.848,-99.036,-94.212,2,0.067969,-0.79453,-0.48984,2
-96.889,-65.28,-98.843,-93.091,2,0.039583,-0.76458,-0.49167,2
-96.37,-67.258,-98.65,-92,2,0.12031,-0.84219,-0.38516,2
-95.852,-66.985,-98.457,-90.939,2,0.09375,-0.80234,-0.425,2
-95.333,-67.267,-98.264,-89.909,2,0.20313,-0.85104,-0.33958,2
-94.815,-67.948,-98.072,-88.909,2,0.17083,-0.72917,-0.53125,2
-94.296,-68.335,-97.879,-87.939,2,0.23281,-0.74687,-0.44375,2
-93.778,-68.259,-97.686,-87.273,2,0.1875,-0.775,-0.49375,2
-93.259,-68.986,-97.493,-87.53,2,0.18438,-0.78281,-0.41563,2
-92.741,-69.986,-97.3,-86.652,2,0.125,-0.7925,-0.48125,2
-92.222,-69.895,-97.107,-85.76,2,0.31562,-0.75313,-0.46875,2
-91.704,-70.63,-96.915,-85.008,2,0.13333,-0.7388,-0.55052,2
-91.185,-71.35,-96.722,-84.394,2,0.28516,-0.80156,-0.35234,2
-90.667,-72.895,-96.529,-83.919,2,0.13203,-0.7625,-0.49219,2
-90.148,-73.241,-96.336,-83.583,2,0.24375,-0.68542,-0.48229,2
-89.63,-73.959,-96.143,-83.386,2,0.70208,-0.76458,0.041667,2
-89.111,-73.868,-95.95,-82.689,2,0.9375,-0.2875,-0.15,2
-88.593,-74.164,-95.758,-82.205,2,1.0063,-0.15208,-0.2375,2
-88.335,-74.027,-95.565,-82.114,2,0.95313,-0.12344,-0.15937,2
-88.34,-73.777,-95.372,-82.008,2,0.9775,-0.13625,-0.145,2
-88.606,-71.573,-95.179,-82.568,2,0.98516,-0.08125,-0.21562,2
-89.133,-69.747,-94.986,-84.369,2,0.91146,-0.093229,-0.23099,2
-89.921,-67.861,-94.793,-85.682,2,0.97073,-0.16938,-0.10396,2
-90.971,-66.679,-94.601,-86.409,2,0.99167,-0.15469,-0.15208,2
-92.283,-67.338,-94.408,-86.551,2,0.96562,-0.00052083,-0.12839,2
-92.596,-69.424,-94.215,-86.811,2,0.92891,-0.31328,-0.30703,2
-93.047,-69.333,-94.022,-86.523,2,0.97891,-0.033594,-0.084375,2
-93.636,-68.988,-93.829,-86.561,2,1.0078,-0.1875,-0.14766,2
-94.364,-67.352,-93.636,-86.342,2,1.0146,-0.0875,-0.083333,2
-94.968,-66.102,-93.444,-86.111,2,0.88958,-0.12639,-0.15243,2
-95.448,-64.056,-93.251,-85.653,2,0.99427,-0.18646,-0.17604,2
-95.805,-63.579,-93.058,-85.621,2,1.0065,-0.19167,-0.19141,2
-96.039,-63.374,-92.865,-84.167,2,0.98562,-0.12031,-0.10813,2
-96.149,-65.411,-92.672,-83.697,2,0.91667,-0.17083,-0.14167,2
-96.136,-66.859,-92.479,-83.25,2,0.96719,-0.090625,-0.13594,2
-96,-66.086,-92.287,-83.197,2,0.94063,-0.15937,-0.071875,2
-96.886,-64.745,-92.094,-83.288,2,0.94844,-0.13437,-0.14688,2
-97.657,-64.518,-91.901,-84.258,2,0.94219,-0.1,-0.15625,2
-98.313,-64.076,-91.708,-85.008,2,0.94875,-0.14729,-0.11313,2
-98.855,-64.379,-91.515,-85.408,2,0.98344,-0.13344,-0.10125,2
-99.283,-64.574,-91.322,-85.548,2,0.97656,-0.22031,-0.071354,2
-99.596,-65.43,-91.129,-85.976,2,1.0688,-0.28437,-0.17188,2
-99.795,-67.476,-90.937,-85.894,2,1.0328,-0.10365,-0.12396,2
-99.879,-68.585,-90.744,-86.227,2,0.99375,-0.19375,-0.10833,2
-99.848,-66.321,-90.551,-86.106,2,0.96094,-0.11563,-0.17943,2
-99.704,-65.297,-90.358,-86.652,2,0.97687,-0.0575,-0.14813,2
-99.444,-63.221,-90.165,-87.492,2,0.9625,-0.2276,-0.078646,2
-99.185,-62.615,-89.972,-88.174,2,1.0685,-0.11302,-0.13854,2
-98.926,-63.161,-89.78,-87.598,2,1.0375,-0.13021,-0.13396,2
-98.667,-63.744,-89.587,-86.841,2,0.975,-0.19844,-0.16328,2
-98.407,-64.914,-89.394,-86.538,2,1,-0.18125,-0.075,2
-98.148,-65.877,-89.201,-86.402,2,1.0083,-0.19167,-0.10625,2
-97.889,-66.035,-89.008,-86.879,2,0.99792,-0.028125,-0.025,2
-97.63,-64.471,-88.815,-88.765,2,0.91771,-0.15313,-0.13875,2
-97.37,-65.847,-88.623,-89.477,2,1.0453,-0.15755,-0.072135,2
-97.111,-67.547,-88.43,-89.295,2,0.95292,-0.16229,-0.095208,2
