Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room,AccX,AccY,AccZ,Activity
-70.25,-99.96,-79.925,-94.5,1,0.58698,-0.62474,-0.38568,1
-69.167,-99.952,-80.25,-92,1,0.51302,-0.7974,-0.23151,1
-70.25,-99.944,-80.375,-90.75,1,-0.2309,-0.52118,0.49618,1
-71.333,-99.937,-80.25,-89.5,1,-0.64931,0.49427,0.65382,1
-71.292,-99.929,-80.375,-89.375,1,-0.56792,0.57743,0.54757,1
-71.25,-99.921,-80.25,-89.25,1,-0.58479,0.65542,0.30083,1
-71.25,-99.905,-80.5,-86.5,1,-0.60885,0.65573,0.37899,1
-71.333,-99.889,-80.2,-86.5,1,-0.58854,0.72083,0.33646,1
-71.6,-99.873,-80.2,-89.25,1,-0.44073,0.56615,0.64646,1
-71.25,-99.857,-80.2,-89.25,1,-0.4224,0.53646,0.72813,1
-71.6,-99.841,-80.5,-89.25,1,-0.56885,0.69521,0.27323,1
-71.25,-99.825,-80.2,-89.25,1,-0.54931,0.73056,0.25139,1
-71.25,-99.81,-80.2,-89.25,1,-0.44703,0.66203,0.46781,1
-70.4,-99.794,-80.2,-88.4,1,-0.063681,0.31486,0.96819,1
-70.4,-99.778,-83,-88.4,1,-0.17552,0.57135,0.60156,1
-70.4,-99.762,-83,-88.4,1,-0.39597,0.77486,-0.29083,1
-71.75,-99.746,-83,-88.4,1,-0.5041,0.77007,-0.13521,1
-72,-99.73,-83.4,-88.4,1,-0.43983,0.84444,0.013854,1
-72,-99.714,-84,-88.333,1,-0.43365,0.82396,0.1449,1
-72,-99.698,-84.667,-88,1,-0.40736,0.81917,0.25181,1
-74.75,-99.683,-85,-88,1,-0.40365,0.83281,0.24462,1
-72,-99.667,-85,-88.333,1,-0.40625,0.82257,0.25,1
-74.75,-99.651,-86,-88.333,1,-0.40625,0.82274,0.24774,1
-75,-99.635,-86,-88.333,1,-0.40736,0.82569,0.24889,1
-75,-99.619,-87,-89.667,1,-0.40729,0.82813,0.25,1
-74.75,-99.603,-87,-88.333,1,-0.40625,0.83094,0.24354,1
-74,-99.587,-87,-88.333,1,-0.40625,0.83073,0.24479,1
-74,-99.571,-87,-88.333,1,-0.40625,0.825,0.22656,1
-75,-99.556,-87,-89.667,1,-0.40625,0.82969,0.22188,1
-74,-99.54,-87,-90,1,-0.40625,0.83437,0.22222,1
-74,-99.524,-87,-90.5,1,-0.40625,0.83542,0.21979,1
-74,-99.508,-87,-90.5,1,-0.40625,0.83767,0.22222,1
-74,-99.492,-87,-90.5,1,-0.40625,0.82813,0.22153,1
-73.667,-99.476,-87.667,-91.5,1,-0.40625,0.83391,0.23469,1
-73,-99.46,-88,-90.5,1,-0.40813,0.83937,0.22562,1
-73.667,-99.444,-87.667,-90.667,1,-0.40625,0.83958,0.22795,1
-74,-99.429,-87.667,-90.667,1,-0.40625,0.83437,0.22656,1
-75.6,-99.413,-87.667,-92,1,-0.40625,0.83472,0.225,1
-75.6,-99.397,-88.4,-92,1,-0.40625,0.83681,0.23854,1
-76,-99.381,-88.4,-92,1,-0.40625,0.83698,0.22615,1
-76,-99.365,-87.667,-92,1,-0.40625,0.83368,0.22813,1
-76,-99.349,-89,-92,1,-0.40625,0.84042,0.23347,1
-73.667,-99.333,-89,-90.667,1,-0.40625,0.83854,0.225,1
-73.667,-99.317,-89,-90,1,-0.40514,0.84194,0.23014,1
-76,-99.302,-89,-89.333,1,-0.40625,0.84271,0.21875,1
-77,-99.286,-89,-90,1,-0.40278,0.84375,0.22743,1
-77,-99.27,-89,-89.333,1,-0.40625,0.84014,0.22542,1
-77,-99.254,-89.25,-90,1,-0.40625,0.83993,0.22049,1
-77,-99.238,-89.75,-90,1,-0.41319,0.8467,0.22378,1
-77,-99.222,-89.8,-90,1,-0.40625,0.84271,0.22292,1
-77,-99.206,-89.8,-89,1,-0.40278,0.84028,0.21875,1
-77,-99.19,-90.25,-89,1,-0.40403,0.84153,0.22681,1
-77,-99.175,-90.25,-89,1,-0.40458,0.84375,0.21875,1
-77.6,-99.159,-90.5,-89,1,-0.40486,0.84271,0.22431,1
-77.6,-99.143,-90.5,-89,1,-0.39792,0.8375,0.22778,1
-77.75,-99.127,-90.5,-89,1,-0.40313,0.8375,0.22187,1
-77.6,-99.111,-89.5,-87,1,-0.39358,0.84253,0.21997,1
-76,-99.095,-89.6,-87,1,-0.40625,0.84375,0.22396,1
-76.2,-99.079,-89.5,-87,1,-0.40431,0.84375,0.21986,1
-76,-99.063,-88,-87,1,-0.39896,0.84063,0.21875,1
-76.2,-99.048,-88,-87,1,-0.38958,0.84531,0.21875,1
-76.2,-99.032,-87.667,-87,1,-0.4026,0.8401,0.21875,1
-77,-99.016,-87.667,-87,1,-0.40458,0.83875,0.22958,1
-76.2,-99,-87.75,-87,1,-0.40111,0.83792,0.25208,1
-76,-98.984,-87.333,-86,1,-0.39583,0.83437,0.24896,1
