Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room,AccX,AccY,AccZ,Activity
-52.2,-100,-77.75,-97.5,1,0.11115,-0.17104,-0.48781,1
-60.333,-99.508,-77.5,-82,1,0.30868,-0.72292,0.40799,1
-56.8,-99.017,-83.333,-88,1,0.96229,-0.084792,-0.32062,1
-70,-98.525,-76.75,-94,1,0.94906,-0.39313,0.27625,1
-64.25,-98.033,-75.2,-80.25,1,-0.032917,-0.011979,0.67729,1
-55.75,-97.541,-73.25,-85.25,1,-0.030729,-0.44583,0.91927,1
-59.667,-97.05,-75,-88.75,1,-0.026042,-0.58924,0.86701,1
-65.75,-96.558,-78,-92.167,1,-0.33063,-0.60234,0.45188,1
-64.667,-96.066,-80.75,-95.583,1,-0.088021,-0.91068,0.18854,1
-63.5,-95.574,-77.25,-99,1,-0.10052,-0.91927,0.15729,1
-46.667,-95.083,-78.2,-86.25,1,-0.2033,-0.83719,0.30507,1
-59.667,-94.591,-77,-86.223,1,-0.0033333,-0.43063,0.81812,1
-62.5,-94.099,-76.667,-86.196,1,0.1875,-0.47396,0.87396,1
-58.25,-93.607,-85.5,-86.17,1,0.1875,-0.47344,0.875,1
-60.667,-93.116,-79,-86.143,1,0.1875,-0.47042,0.87333,1
-73.667,-92.624,-84.333,-86.116,1,-0.010417,-0.70729,0.40625,1
-59.6,-92.132,-81.6,-86.089,1,0.20125,-0.555,0.8525,1
-58,-91.64,-90,-86.063,1,0.18438,-0.53125,0.84271,1
-57.25,-91.149,-84.2,-86.036,1,0.19672,-0.52219,0.83734,1
-61.75,-90.657,-81.75,-86.009,1,0.19687,-0.50625,0.84609,1
-56.6,-90.165,-84.2,-85.982,1,0.1875,-0.50375,0.84375,1
-64.667,-89.674,-79.333,-85.955,1,0.18542,-0.51667,0.84375,1
-56.5,-89.182,-84.6,-85.929,1,0.1875,-0.50891,0.84516,1
-65,-88.69,-78.667,-85.902,1,0.18542,-0.5151,0.84375,1
-56.25,-88.198,-83,-85.875,1,0.19844,-0.52344,0.83125,1
-59.75,-87.707,-81,-85.848,1,0.22734,-0.51172,0.83672,1
-65.667,-87.215,-79.2,-85.821,1,0.19781,-0.51646,0.83917,1
-52.75,-86.723,-77.667,-85.795,1,0.18568,-0.52943,0.84193,1
-58.6,-86.231,-79.333,-85.768,1,0.1875,-0.52729,0.84313,1
-60.333,-85.74,-83.5,-85.741,1,0.1862,-0.52682,0.84245,1
-58.8,-85.248,-79.6,-85.714,1,0.18625,-0.5275,0.8425,1
-70,-84.756,-79,-85.688,1,0.1875,-0.52865,0.84115,1
-61.75,-84.264,-82.8,-85.661,1,0.1875,-0.52984,0.84172,1
-59.2,-83.773,-81.333,-85.634,1,0.1875,-0.52667,0.84313,1
-62.2,-83.281,-78,-85.607,1,0.18688,-0.51781,0.84031,1
-58.2,-82.789,-78.5,-85.58,1,0.1875,-0.52703,0.84375,1
-57,-82.298,-80.75,-85.554,1,0.18594,-0.52344,0.84375,1
-56,-81.806,-83.5,-85.527,1,0.1875,-0.52109,0.84297,1
-56.25,-81.314,-82,-85.5,1,0.1875,-0.52156,0.84375,1
-55.6,-80.822,-81,-85.473,1,0.1875,-0.5225,0.8425,1
-64,-80.331,-82.75,-85.446,1,0.18672,-0.51797,0.84375,1
-61.8,-79.839,-83.25,-85.42,1,0.1875,-0.52297,0.84375,1
-60.25,-79.347,-82,-85.393,1,0.18609,-0.525,0.84375,1
-59,-78.855,-80.2,-85.366,1,0.18625,-0.525,0.845,1
-58.333,-78.364,-80.333,-85.339,1,0.1875,-0.51667,0.84375,1
-58,-77.872,-81.75,-85.313,1,0.18672,-0.5224,0.84193,1
-56.25,-77.38,-81,-85.286,1,0.18469,-0.51875,0.84234,1
