Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room,AccX,AccY,AccZ
-84.016,-61.067,-78.914,-101.1,2,-0.034375,-0.11875,-0.91875
-90.127,-54.635,-87.681,-102.27,2,-0.03125,-0.125,-0.93125
-95.8,-52.374,-95.409,-101.87,2,0.07,-0.42375,-0.70875
-100.21,-54.256,-101.08,-100.07,2,0.070313,-0.81406,-0.43281
-102.88,-59.278,-104.2,-97.415,2,-0.057813,-0.76563,-0.51563
-103.72,-65.739,-104.84,-94.652,2,0.067969,-0.79453,-0.48984
-103.08,-71.714,-103.6,-92.553,2,0.039583,-0.76458,-0.49167
-101.55,-75.575,-101.39,-91.661,2,0.12031,-0.84219,-0.38516
-99.835,-76.417,-99.168,-92.137,2,0.09375,-0.80234,-0.425
-98.516,-74.27,-97.668,-93.715,2,0.20313,-0.85104,-0.33958
-97.943,-70.042,-97.258,-95.793,2,0.17083,-0.72917,-0.53125
-98.165,-65.211,-97.89,-97.624,2,0.23281,-0.74687,-0.44375
-98.971,-61.372,-99.179,-98.556,2,0.1875,-0.775,-0.49375
-99.997,-59.774,-100.58,-98.239,2,0.18438,-0.78281,-0.41563
-100.87,-60.969,-101.6,-96.729,2,0.125,-0.7925,-0.48125
-101.32,-64.69,-101.92,-94.467,2,0.31562,-0.75313,-0.46875
-101.28,-69.965,-101.51,-92.13,2,0.13333,-0.7388,-0.55052
-100.83,-75.427,-100.61,-90.408,2,0.28516,-0.80156,-0.35234
-100.2,-79.725,-99.576,-89.781,2,0.13203,-0.7625,-0.49219
-99.621,-81.894,-98.796,-90.365,2,0.24375,-0.68542,-0.48229
-99.26,-81.597,-98.522,-91.87,2,0.70208,-0.76458,0.041667
-99.162,-79.166,-98.805,-93.704,2,0.9375,-0.2875,-0.15
-99.243,-75.45,-99.496,-95.157,2,1.0063,-0.15208,-0.2375
-99.341,-71.522,-100.31,-95.633,2,0.95313,-0.12344,-0.15937
-99.295,-68.356,-100.96,-94.839,2,0.9775,-0.13625,-0.145
-99.016,-66.566,-101.2,-92.875,2,0.98516,-0.08125,-0.21562
-98.531,-66.275,-101,-90.2,2,0.91146,-0.093229,-0.23099
-97.973,-67.147,-100.45,-87.491,2,0.97073,-0.16938,-0.10396
-97.537,-68.554,-99.766,-85.429,2,0.99167,-0.15469,-0.15208
-97.397,-69.807,-99.216,-84.505,2,0.96562,-0.00052083,-0.12839
-97.638,-70.381,-98.983,-84.877,2,0.92891,-0.31328,-0.30703
-98.219,-70.051,-99.135,-86.348,2,0.97891,-0.033594,-0.084375
-98.976,-68.922,-99.592,-88.445,2,1.0078,-0.1875,-0.14766
-99.683,-67.344,-100.17,-90.581,2,1.0146,-0.0875,-0.083333
-100.13,-65.755,-100.66,-92.239,2,0.88958,-0.12639,-0.15243
-100.18,-64.527,-100.88,-93.115,2,0.99427,-0.18646,-0.17604
-99.874,-63.845,-100.77,-93.183,2,1.0065,-0.19167,-0.19141
-99.345,-63.681,-100.38,-92.664,2,0.98562,-0.12031,-0.10813
-98.827,-63.845,-99.877,-91.915,2,0.91667,-0.17083,-0.14167
-98.55,-64.089,-99.439,-91.287,2,0.96719,-0.090625,-0.13594
-98.66,-64.225,-99.225,-90.994,2,0.94063,-0.15937,-0.071875
-99.161,-64.205,-99.303,-91.049,2,0.94844,-0.13437,-0.14688
-99.917,-64.132,-99.633,-91.276,2,0.94219,-0.1,-0.15625
-100.69,-64.201,-100.08,-91.395,2,0.94875,-0.14729,-0.11313
-101.24,-64.604,-100.48,-91.143,2,0.98344,-0.13344,-0.10125
-101.39,-65.419,-100.69,-90.387,2,0.97656,-0.22031,-0.071354
-101.09,-66.548,-100.64,-89.19,2,1.0688,-0.28437,-0.17188
-100.46,-67.718,-100.36,-87.797,2,1.0328,-0.10365,-0.12396
-99.716,-68.552,-99.951,-86.564,2,0.99375,-0.19375,-0.10833
-99.127,-68.691,-99.578,-85.838,2,0.96094,-0.11563,-0.17943
-98.888,-67.926,-99.372,-85.842,2,0.97687,-0.0575,-0.14813
-99.073,-66.287,-99.404,-86.596,2,0.9625,-0.2276,-0.078646
-99.602,-64.071,-99.653,-87.906,2,1.0685,-0.11302,-0.13854
-100.27,-61.777,-100.02,-89.427,2,1.0375,-0.13021,-0.13396
-100.84,-59.988,-100.37,-90.763,2,0.975,-0.19844,-0.16328
-101.08,-59.21,-100.57,-91.593,2,1,-0.18125,-0.075
-100.92,-59.733,-100.56,-91.76,2,1.0083,-0.19167,-0.10625
-100.41,-61.547,-100.34,-91.313,2,0.99792,-0.028125,-0.025
-99.747,-64.341,-100,-90.476,2,0.91771,-0.15313,-0.13875
-99.172,-67.578,-99.672,-89.571,2,1.0453,-0.15755,-0.072135
-98.905,-70.631,-99.47,-88.907,2,0.95292,-0.16229,-0.095208
-99.054,-72.935,-99.468,-88.694,2,0.87708,-0.61615,0.064583
-99.568,-74.11,-99.662,-88.975,2,0.16625,-0.82375,-0.39
-100.26,-74.038,-99.976,-89.633,2,0.15125,-0.745,-0.54375
-100.88,-72.858,-100.29,-90.438,2,0.125,-0.75625,-0.5474
-101.18,-70.91,-100.49,-91.123,2,0.26625,-0.76875,-0.43188
-101.03,-68.626,-100.51,-91.475,2,0.6125,-0.48906,-0.39687
-100.45,-66.426,-100.34,-91.389,2,1.0075,-0.25875,-0.0575
-99.606,-64.623,-100.04,-90.892,2,0.92312,-0.1975,-0.0275
-98.763,-63.382,-99.738,-90.117,2,1.0019,-0.20375,-0.11375
-98.181,-62.716,-99.535,-89.253,2,0.93812,-0.11083,-0.053958
-98.031,-62.529,-99.508,-88.48,2,1.0557,-0.16667,-0.070833
-98.336,-62.677,-99.664,-87.912,2,1.0135,-0.30208,-0.19688
-98.966,-63.024,-99.942,-87.575,2,0.99687,-0.14844,-0.067187
-99.694,-63.486,-100.24,-87.416,2,1.0602,-0.28516,-0.15547
-100.27,-64.041,-100.44,-87.329,2,1.0604,-0.24583,-0.091458
-100.54,-64.721,-100.48,-87.207,2,0.98073,-0.16406,-0.15677
-100.46,-65.576,-100.34,-86.981,2,0.975,-0.1125,-0.038542
-100.15,-66.635,-100.07,-86.65,2,0.96094,-0.20625,-0.11719
-99.801,-67.877,-99.779,-86.278,2,0.99094,-0.13281,-0.085625
-99.635,-69.215,-99.571,-85.976,2,0.97604,-0.12938,-0.17854
-99.776,-70.497,-99.524,-85.867,2,1.0052,-0.088542,-0.0875
-100.21,-71.536,-99.656,-86.05,2,0.95583,-0.24542,-0.12958
-100.77,-72.143,-99.917,-86.568,2,0.99167,-0.13073,-0.059115
