Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room,AccX,AccY,AccZ,Activity
-81.946,-99.76,-74.469,-87.942,1,-0.21875,0.74583,0.59375,1
-81.034,-100.44,-76.584,-85.14,1,-0.22222,0.74792,0.59097,1
-79.76,-100.96,-78.522,-83.318,1,-0.22552,0.74948,0.59149,1
-78.265,-101.13,-80.249,-82.983,1,-0.20938,0.73958,0.61233,1
-76.716,-100.88,-81.707,-84.256,1,-0.19965,0.72729,0.62646,1
-75.26,-100.31,-82.802,-86.83,1,-0.45833,0.30944,0.69156,1
-73.983,-99.616,-83.411,-90.046,1,-0.34135,0.40135,0.76094,1
-72.902,-99.06,-83.424,-93.08,1,-0.23203,0.58516,0.54141,1
-71.978,-98.848,-82.794,-95.175,1,-0.56875,0.51094,-0.65312,1
-71.149,-99.061,-81.576,-95.845,1,-0.22066,0.20295,0.45955,1
-70.374,-99.622,-79.947,-95,1,-0.24417,0.0575,0.94958,1
-69.668,-100.33,-78.184,-92.955,1,-0.27049,0.59236,0.62083,1
-69.11,-100.92,-76.611,-90.315,1,-0.16667,0.52326,0.83333,1
-68.832,-101.17,-75.523,-87.786,1,-0.16688,0.54833,0.87333,1
-68.979,-101,-75.114,-85.967,1,-0.20729,-0.28385,0.85139,1
-69.661,-100.45,-75.422,-85.185,1,-0.47552,-0.037326,0.84722,1
-70.914,-99.73,-76.325,-85.424,1,-0.43118,0.49271,0.88951,1
-72.675,-99.104,-77.572,-86.362,1,-0.38149,0.45872,0.12042,1
-74.787,-98.803,-78.849,-87.504,1,-0.55333,0.17771,0.25688,1
-77.032,-98.942,-79.871,-88.354,1,-0.28556,0.495,0.6,1
-79.176,-99.475,-80.446,-88.576,1,-0.16292,0.52809,0.83903,1
-81.016,-100.21,-80.522,-88.098,1,-0.18108,0.53125,0.83993,1
-82.417,-100.87,-80.186,-87.113,1,-0.175,0.53264,0.83125,1
-83.326,-101.22,-79.622,-86.004,1,-0.17951,0.53576,0.82951,1
-83.757,-101.12,-79.05,-85.198,1,-0.17552,0.53507,0.83264,1
-83.771,-100.6,-78.654,-85.02,1,-0.17063,0.53312,0.82479,1
-83.442,-99.858,-78.536,-85.582,1,-0.17309,0.5401,0.84028,1
-82.833,-99.157,-78.687,-86.747,1,-0.175,0.5375,0.83194,1
-81.985,-98.76,-79.012,-88.173,1,-0.17812,0.53438,0.83438,1
-80.926,-98.818,-79.36,-89.424,1,-0.17813,0.53437,0.82813,1
-79.682,-99.315,-79.586,-90.11,1,-0.17604,0.53802,0.83385,1
-78.298,-100.07,-79.592,-90.004,1,-0.17569,0.53819,0.82917,1
-76.842,-100.81,-79.356,-89.107,1,-0.16597,0.53819,0.82951,1
-75.4,-101.26,-78.939,-87.647,1,-0.17552,0.53698,0.82865,1
-74.052,-101.25,-78.459,-86.003,1,-0.16535,0.55125,0.87222,1
-72.855,-100.77,-78.058,-84.598,1,-0.48455,0.7974,0.11441,1
-71.814,-100,-77.868,-83.777,1,-0.28125,0.41135,0.79844,1
-70.882,-99.222,-77.978,-83.73,1,-0.36007,0.36111,0.88142,1
-69.969,-98.719,-78.418,-84.45,1,-0.29764,0.39139,0.78917,1
-68.978,-98.686,-79.155,-85.762,1,-0.38854,0.38611,0.7724,1
-67.838,-99.139,-80.103,-87.379,1,-0.21562,0.2875,0.83542,1
-66.543,-99.919,-81.129,-88.988,1,-0.14375,0.46979,0.90417,1
-65.162,-100.74,-82.073,-90.325,1,-0.14802,0.37969,0.80865,1
-63.84,-101.3,-82.762,-91.218,1,0.2908,-0.32552,0.93212,1
-62.76,-101.39,-83.032,-91.606,1,-0.27153,0.10312,0.85573,1
-62.104,-100.96,-82.75,-91.516,1,-0.50174,0.26163,0.85087,1
-62.004,-100.17,-81.844,-91.037,1,-0.4,0.63438,0.68125,1
-62.51,-99.299,-80.331,-90.283,1,-0.29792,0.51432,0.79036,1
-63.577,-98.679,-78.333,-89.371,1,-0.30972,0.57813,0.53455,1
-65.075,-98.539,-76.078,-88.408,1,0.42396,-0.34375,0.86493,1
-66.823,-98.94,-73.869,-87.495,1,0.39687,-0.15021,0.88427,1
-68.622,-99.743,-72.037,-86.715,1,-0.038368,0.31319,0.74566,1
-70.294,-100.66,-70.869,-86.139,1,-0.16458,0.50625,0.86875,1
-71.698,-101.34,-70.54,-85.8,1,-0.14931,0.51181,0.85278,1
-72.746,-101.54,-71.061,-85.688,1,-0.13646,0.48854,0.86875,1
