Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room
-73.703,-99.929,-69.597,-87.743,1
-71.525,-100.11,-70.218,-86.474,1
-69.839,-100.25,-70.082,-86.078,1
-68.831,-100.31,-69.346,-86.564,1
-68.549,-100.24,-68.344,-87.738,1
-68.909,-100.09,-67.483,-89.247,1
-69.744,-99.901,-67.121,-90.677,1
-70.863,-99.745,-67.459,-91.644,1
-72.11,-99.681,-68.489,-91.895,1
-73.392,-99.735,-70.004,-91.359,1
-74.679,-99.888,-71.666,-90.157,1
-75.968,-100.09,-73.116,-88.571,1
-77.238,-100.25,-74.073,-86.969,1
-78.409,-100.33,-74.417,-85.713,1
-79.33,-100.29,-74.209,-85.076,1
-79.811,-100.14,-73.665,-85.18,1
-79.678,-99.929,-73.081,-85.966,1
-78.85,-99.746,-72.743,-87.217,1
-77.394,-99.654,-72.846,-88.607,1
-75.549,-99.689,-73.452,-89.783,1
-73.69,-99.84,-74.478,-90.45,1
-72.243,-100.05,-75.733,-90.44,1
-71.574,-100.25,-76.979,-89.758,1
-71.879,-100.36,-77.989,-88.575,1
-73.116,-100.34,-78.604,-87.19,1
-75.006,-100.19,-78.754,-85.951,1
-77.098,-99.965,-78.46,-85.166,1
-78.895,-99.75,-77.814,-85.02,1
-79.996,-99.624,-76.95,-85.524,1
-80.212,-99.636,-76.01,-86.506,1
-79.623,-99.783,-75.126,-87.659,1
-78.553,-100.01,-74.405,-88.624,1
-77.463,-100.25,-73.928,-89.09,1
-76.805,-100.39,-73.741,-88.893,1
-76.871,-100.39,-73.86,-88.07,1
-77.689,-100.25,-74.264,-86.861,1
-79.005,-100.01,-74.888,-85.654,1
-80.343,-99.759,-75.634,-84.88,1
-81.152,-99.592,-76.374,-84.895,1
-80.972,-99.573,-76.976,-85.873,1
-79.581,-99.714,-77.324,-87.748,1
-77.088,-99.964,-77.347,-90.223,1
-73.913,-100.24,-77.032,-92.839,1
-70.696,-100.43,-76.427,-95.089,1
-68.126,-100.46,-75.628,-96.557,1
-66.764,-100.33,-74.754,-97.013,1
-66.895,-100.07,-73.924,-96.473,1
-68.456,-99.773,-73.234,-95.172,1
-71.055,-99.556,-72.751,-93.491,1
-74.072,-99.498,-72.515,-91.837,1
-76.816,-99.627,-72.558,-90.522,1
-78.686,-99.899,-72.919,-89.686,1
-79.301,-100.22,-73.645,-89.27,1
-78.567,-100.46,-74.79,-89.064,1
-76.663,-100.55,-76.385,-88.794,1
-73.976,-100.43,-78.412,-88.238,1
-70.993,-100.14,-80.768,-87.316,1
-68.187,-99.795,-83.26,-86.133,1
-65.932,-99.514,-85.617,-84.953,1
-64.456,-99.404,-87.528,-84.126,1
-63.834,-99.514,-88.711,-83.966,1
-64.01,-99.81,-88.973,-84.649,1
-64.841,-100.19,-88.27,-86.141,1
-66.134,-100.51,-86.731,-88.19,1
-67.684,-100.65,-84.642,-90.392,1
-69.289,-100.56,-82.394,-92.297,1
-70.776,-100.25,-80.409,-93.539,1
-72.01,-99.831,-79.046,-93.94,1
-72.91,-99.463,-78.534,-93.564,1
-73.47,-99.28,-78.923,-92.696,1
-73.759,-99.361,-80.085,-91.761,1
-73.914,-99.686,-81.745,-91.197,1
-74.109,-100.14,-83.54,-91.332,1
-74.507,-100.57,-85.1,-92.286,1
-75.203,-100.8,-86.111,-93.932,1
-76.184,-100.74,-86.369,-95.931,1
-77.312,-100.4,-85.807,-97.819,1
-78.347,-99.889,-84.487,-99.125,1
-79.009,-99.396,-82.578,-99.492,1
-79.062,-99.105,-80.318,-98.758,1
-78.387,-99.137,-77.968,-96.989,1
-77.044,-99.497,-75.77,-94.451,1
-75.268,-100.07,-73.914,-91.539,1
-73.42,-100.65,-72.517,-88.682,1
-71.896,-101.01,-71.611,-86.244,1
-71.012,-101.02,-71.155,-84.465,1
-70.919,-100.64,-71.05,-83.423,1
-71.555,-99.988,-71.165,-83.055,1
-72.665,-99.3,-71.378,-83.189,1
-73.875,-98.831,-71.596,-83.613,1
-74.812,-98.775,-71.781,-84.123,1
-75.208,-99.183,-71.951,-84.57,1
-74.983,-99.934,-72.167,-84.879,1
-74.259,-100.77,-72.5,-85.043,1
-73.312,-101.38,-72.995,-85.105,1
-72.472,-101.51,-73.641,-85.124,1
-72.012,-101.07,-74.356,-85.154,1
-72.057,-100.18,-74.999,-85.213,1
-72.547,-99.132,-75.408,-85.286,1
-73.271,-98.321,-75.447,-85.321,1
-73.946,-98.078,-75.063,-85.252,1
-74.331,-98.559,-74.316,-85.014,1
-74.325,-99.657,-73.377,-84.568,1
-74.005,-101.02,-72.49,-83.916,1
-73.609,-102.16,-71.904,-83.101,1
-73.443,-102.59,-71.791,-82.205,1
-73.764,-102.05,-72.179,-81.324,1
-74.66,-100.61,-72.93,-80.547,1
-75.994,-98.691,-73.757,-79.931,1
-77.413,-96.97,-74.31,-79.488,1
-78.442,-96.169,-74.278,-79.185,1
-78.639,-96.796,-73.506,-78.963,1
-77.753,-98.917,-72.07,-78.77,1
-75.838,-102.04,-70.295,-78.6,1
-73.291,-105.16,-68.702,-78.521,1
-70.784,-106.95,-67.888,-78.678,1
-69.105,-106.14,-68.379,-79.277,1
-68.96,-101.84,-70.482,-80.526,1
-70.775,-93.86,-74.194,-82.566,1
-74.576,-82.845,-79.182,-85.401,1
-79.956,-70.204,-84.85,-88.85,1
-86.17,-57.829,-90.469,-92.543,2
-92.308,-47.68,-95.345,-95.973,2
-97.509,-41.331,-98.971,-98.59,2
-101.16,-39.608,-101.13,-99.928,2
-103.01,-42.402,-101.9,-99.723,2
-103.21,-48.716,-101.63,-97.999,2
-102.23,-56.928,-100.8,-95.087,2
-100.69,-65.193,-99.887,-91.563,2
-99.205,-71.884,-99.247,-88.132,2
-98.241,-75.945,-99.053,-85.469,2
-97.999,-77.082,-99.279,-84.063,2
-98.424,-75.741,-99.755,-84.115,2
-99.269,-72.9,-100.25,-85.5,2
-100.2,-69.747,-100.57,-87.813,2
-100.92,-67.338,-100.61,-90.49,2
-101.25,-66.335,-100.4,-92.947,2
-101.16,-66.879,-100.05,-94.73,2
-100.75,-68.633,-99.707,-95.6,2
-100.19,-70.953,-99.517,-95.558,2
-99.658,-73.13,-99.54,-94.801,2
-99.267,-74.616,-99.75,-93.623,2
-99.036,-75.174,-100.05,-92.306,2
-98.91,-74.913,-100.31,-91.033,2
-98.796,-74.201,-100.44,-89.852,2
-98.617,-73.514,-100.38,-88.696,2
-98.352,-73.253,-100.17,-87.454,2
-98.051,-73.611,-99.896,-86.062,2
-97.819,-74.517,-99.672,-84.569,2
-97.776,-75.674,-99.584,-83.164,2
-98.004,-76.669,-99.664,-82.147,2
-98.513,-77.12,-99.878,-81.846,2
-99.223,-76.796,-100.14,-82.513,2
-99.986,-75.694,-100.34,-84.233,2
-100.63,-74.032,-100.41,-86.877,2
-100.99,-72.177,-100.31,-90.112,2
-101.02,-70.532,-100.1,-93.481,2
