Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room
-88.625,-90.641,-78.29,-96.795,3
-86.075,-95.163,-71.404,-99.715,3
-84.297,-98.306,-65.887,-101.89,3
-83.493,-100.01,-62.322,-102.99,3
-83.636,-100.55,-60.841,-102.93,3
-84.475,-100.36,-61.095,-101.94,3
-85.617,-99.945,-62.354,-100.39,3
-86.632,-99.671,-63.707,-98.709,3
-87.17,-99.706,-64.3,-97.235,3
-87.045,-100.01,-63.551,-96.152,3
-86.262,-100.4,-61.297,-95.469,3
-84.981,-100.66,-57.812,-95.065,3
-83.438,-100.65,-53.718,-94.775,3
-81.856,-100.35,-49.811,-94.476,3
-80.37,-99.877,-46.852,-94.141,3
-79.012,-99.427,-45.376,-93.852,3
-77.732,-99.186,-45.584,-93.755,3
-76.473,-99.257,-47.327,-93.996,3
-75.253,-99.62,-50.18,-94.647,3
-74.21,-100.14,-53.581,-95.659,3
-73.61,-100.61,-56.989,-96.858,3
-73.778,-100.85,-60.012,-97.986,3
-74.992,-100.77,-62.473,-98.768,3
-77.36,-100.41,-64.401,-98.988,3
-80.726,-99.883,-65.97,-98.55,3
-84.656,-99.405,-67.396,-97.5,3
-88.495,-99.152,-68.843,-96.014,3
-91.516,-99.216,-70.359,-94.349,3
-93.098,-99.573,-71.871,-92.781,3
-92.902,-100.09,-73.215,-91.55,3
-90.974,-100.56,-74.212,-90.819,3
-87.755,-100.83,-74.734,-90.657,3
-83.978,-100.78,-74.757,-91.044,3
-80.482,-100.45,-74.37,-91.89,3
-77.995,-99.95,-73.747,-93.053,3
-76.95,-99.475,-73.088,-94.361,3
-77.38,-99.199,-72.553,-95.625,3
-78.924,-99.222,-72.216,-96.661,3
-80.954,-99.532,-72.049,-97.309,3
-82.762,-100.01,-71.943,-97.467,3
-83.774,-100.48,-71.759,-97.118,3
-83.711,-100.77,-71.392,-96.358,3
-82.66,-100.77,-70.812,-95.391,3
-81.035,-100.49,-70.089,-94.504,3
-79.437,-100.02,-69.372,-93.999,3
-78.463,-99.558,-68.842,-94.119,3
-78.525,-99.259,-68.645,-94.963,3
-79.721,-99.236,-68.841,-96.442,3
-81.809,-99.495,-69.371,-98.272,3
-84.277,-99.938,-70.069,-100.03,3
-86.497,-100.4,-70.706,-101.26,3
-87.902,-100.71,-71.058,-101.61,3
-88.144,-100.76,-70.983,-100.91,3
-87.186,-100.52,-70.466,-99.268,3
-85.301,-100.1,-69.637,-97.037,3
-82.984,-99.642,-68.739,-94.742,3
-80.811,-99.321,-68.064,-92.935,3
-79.281,-99.253,-67.874,-92.045,3
-78.696,-99.461,-68.319,-92.256,3
-79.094,-99.866,-69.395,-93.46,3
-80.272,-100.32,-70.936,-95.282,3
-81.86,-100.65,-72.648,-97.195,3
-83.445,-100.74,-74.186,-98.671,3
-84.684,-100.56,-75.238,-99.331,3
-85.391,-100.17,-75.598,-99.05,3
-85.565,-99.722,-75.219,-97.985,3
-85.369,-99.38,-74.214,-96.513,3
-85.056,-99.269,-72.825,-95.11,3
-84.885,-99.428,-71.355,-94.212,3
-85.037,-99.797,-70.096,-94.083,3
-85.57,-100.24,-69.258,-94.75,3
-86.408,-100.59,-68.928,-96.017,3
-87.375,-100.72,-69.058,-97.538,3
-88.25,-100.59,-69.499,-98.931,3
-88.838,-100.24,-70.046,-99.896,3
-89.019,-99.799,-70.498,-100.29,3
-88.78,-99.437,-70.714,-100.13,3
-88.212,-99.284,-70.642,-99.576,3
-87.481,-99.396,-70.326,-98.841,3
-86.778,-99.731,-69.885,-98.093,3
-86.267,-100.16,-69.473,-97.413,3
-86.044,-100.54,-69.234,-96.782,3
-86.111,-100.71,-69.263,-96.119,3
-86.383,-100.62,-69.586,-95.353,3
-86.709,-100.3,-70.154,-94.489,3
-86.918,-99.872,-70.86,-93.64,3
-86.865,-99.489,-71.567,-93.017,3
-86.478,-99.295,-72.145,-92.857,3
-85.779,-99.361,-72.494,-93.33,3
