Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room
-98.305,-89.109,-77.652,-89.755,3
-96.74,-93.89,-70.748,-91.473,3
-93.842,-98.141,-64.631,-92.176,3
-89.821,-101.31,-59.869,-91.818,3
-85.232,-103.01,-56.79,-90.714,3
-80.832,-103.17,-55.437,-89.366,3
-77.379,-102.07,-55.599,-88.219,3
-75.444,-100.28,-56.923,-87.455,3
-75.277,-98.489,-59.043,-86.881,3
-76.773,-97.298,-61.693,-85.989,3
-79.535,-97.041,-64.761,-84.14,3
-82.996,-97.685,-68.268,-80.836,3
-86.573,-98.853,-72.277,-75.958,4
-89.795,-99.966,-76.78,-69.887,4
-92.379,-100.45,-81.605,-63.464,4
-94.236,-99.918,-86.39,-57.775,4
-95.429,-98.341,-90.637,-53.838,4
-96.099,-96.016,-93.84,-52.296,4
-96.387,-93.478,-95.642,-53.214,4
-96.384,-91.311,-95.967,-56.054,4
-96.113,-89.949,-95.069,-59.84,4
-95.543,-89.542,-93.484,-63.464,4
-94.615,-89.923,-91.885,-66.031,4
-93.279,-90.699,-90.885,-67.126,4
-91.515,-91.421,-90.848,-66.927,4
-89.338,-91.769,-91.775,-66.119,4
-86.803,-91.682,-93.304,-65.645,4
-83.997,-91.387,-94.826,-66.374,4
-81.043,-91.3,-95.684,-68.805,4
-78.106,-91.846,-95.394,-72.897,4
-75.398,-93.261,-93.814,-78.079,4
-73.184,-95.442,-91.206,-83.436,4
-71.758,-97.924,-88.179,-87.994,1
-71.4,-99.976,-85.516,-91.024,1
-72.324,-100.82,-83.953,-92.251,1
-74.604,-99.872,-83.966,-91.907,1
-78.137,-96.954,-85.644,-90.633,1
-82.621,-92.376,-88.672,-89.244,1
-87.587,-86.879,-92.433,-88.471,2
-92.477,-81.437,-96.185,-88.739,2
-96.742,-76.992,-99.265,-90.072,2
-99.952,-74.193,-101.25,-92.13,2
-101.88,-73.236,-102.04,-94.357,2
-102.54,-73.841,-101.83,-96.191,2
-102.17,-75.372,-101.01,-97.239,2
-101.17,-77.06,-100.05,-97.383,2
-100,-78.25,-99.295,-96.77,2
-99.061,-78.587,-98.96,-95.718,2
-98.606,-78.089,-99.054,-94.569,2
-98.709,-77.086,-99.445,-93.568,2
-99.256,-76.059,-99.932,-92.788,2
-100,-75.432,-100.33,-92.152,2
-100.65,-75.411,-100.55,-91.509,2
-100.95,-75.898,-100.55,-90.749,2
-100.74,-76.541,-100.41,-89.885,2
-100.05,-76.866,-100.2,-89.087,2
-99.03,-76.462,-99.997,-88.627,2
-97.946,-75.141,-99.831,-88.78,2
-97.099,-73.022,-99.706,-89.703,2
-96.74,-70.5,-99.614,-91.344,2
-97.006,-68.131,-99.562,-93.425,2
-97.876,-66.456,-99.588,-95.502,2
-99.166,-65.845,-99.742,-97.081,2
-100.57,-66.395,-100.06,-97.766,2
-101.73,-67.938,-100.5,-97.365,2
-102.3,-70.128,-100.96,-95.942,2
-102.03,-72.583,-101.23,-93.787,2
-100.84,-75.024,-101.06,-91.316,2
-98.776,-77.367,-100.24,-88.949,2
-96.051,-79.714,-98.646,-87.002,2
-92.941,-82.282,-96.324,-85.629,2
-89.735,-85.269,-93.501,-84.828,2
-86.669,-88.734,-90.55,-84.503,1
-83.882,-92.519,-87.897,-84.544,1
-81.411,-96.265,-85.925,-84.899,1
-79.216,-99.501,-84.868,-85.595,1
-77.233,-101.79,-84.753,-86.711,1
-75.422,-102.88,-85.401,-88.312,1
-73.804,-102.77,-86.482,-90.379,1
-72.466,-101.75,-87.604,-92.761,1
-71.524,-100.31,-88.423,-95.179,1
-71.077,-98.971,-88.72,-97.293,1
-71.138,-98.173,-88.445,-98.789,1
-71.603,-98.116,-87.699,-99.48,1
-72.25,-98.738,-86.689,-99.364,1
-72.785,-99.75,-85.653,-98.62,1
-72.924,-100.76,-84.795,-97.545,1
-72.485,-101.41,-84.243,-96.456,1
-71.463,-101.5,-84.038,-95.575,1
-70.048,-101.03,-84.152,-94.971,1
-68.591,-100.22,-84.511,-94.553,1
-67.51,-99.376,-85.033,-94.129,1
-67.166,-98.816,-85.635,-93.512,1
-67.747,-98.724,-86.241,-92.629,1
-69.2,-99.109,-86.777,-91.574,1
-71.234,-99.804,-87.167,-90.613,1
-73.394,-100.54,-87.345,-90.102,1
-75.19,-101.04,-87.27,-90.36,1
-76.236,-101.14,-86.951,-91.545,1
-76.362,-100.81,-86.462,-93.568,1
-75.651,-100.19,-85.928,-96.088,1
-74.4,-99.519,-85.501,-98.584,1
-73.014,-99.044,-85.301,-100.5,1
-71.864,-98.936,-85.365,-101.4,1
-71.165,-99.224,-85.615,-101.09,1
-70.909,-99.795,-85.863,-99.647,1
-70.883,-100.44,-85.86,-97.422,1
-70.757,-100.92,-85.382,-94.882,1
-70.22,-101.06,-84.32,-92.484,1
-69.11,-100.82,-82.747,-90.549,1
-67.491,-100.28,-80.93,-89.184,1
-65.654,-99.598,-79.276,-88.301,1
-64.033,-98.993,-78.221,-87.69,1
-63.068,-98.628,-78.095,-87.135,1
-63.064,-98.575,-79.008,-86.519,1
-64.084,-98.797,-80.792,-85.874,1
-65.927,-99.173,-83.035,-85.363,1
-68.195,-99.549,-85.191,-85.209,1
-70.418,-99.8,-86.739,-85.582,1
-72.208,-99.872,-87.343,-86.515,1
-73.38,-99.792,-86.955,-87.854,1
-73.991,-99.652,-85.831,-89.303,1
-74.306,-99.561,-84.439,-90.505,1
-74.681,-99.599,-83.301,-91.175,1
-75.416,-99.783,-82.814,-91.205,1
-76.63,-100.06,-83.105,-90.71,1
-78.204,-100.33,-83.981,-90.011,1
-79.811,-100.49,-84.991,-89.529,1
-81.024,-100.47,-85.574,-89.653,1
-81.467,-100.28,-85.257,-90.607,1
-80.949,-99.982,-83.83,-92.368,1
-79.539,-99.692,-81.442,-94.669,1
-77.556,-99.517,-78.575,-97.074,1
-75.462,-99.523,-75.915,-99.104,1
-73.717,-99.708,-74.146,-100.38,1
-72.623,-100,-73.745,-100.73,1
-72.23,-100.29,-74.828,-100.2,1
-72.323,-100.47,-77.117,-99.057,1
-72.508,-100.47,-80.02,-97.646,1
-72.353,-100.29,-82.806,-96.31,1
-71.553,-100.01,-84.818,-95.276,1
-70.045,-99.724,-85.654,-94.616,1
-68.047,-99.546,-85.26,-94.258,1
-65.998,-99.542,-83.912,-94.05,1
-64.423,-99.71,-82.106,-93.842,1
-63.773,-99.985,-80.379,-93.552,1
-64.277,-100.26,-79.144,-93.196,1
-65.873,-100.44,-78.582,-92.871,1
-68.225,-100.44,-78.615,-92.697,1
-70.822,-100.28,-78.977,-92.754,1
-73.124,-100.02,-79.335,-93.042,1
-74.711,-99.751,-79.425,-93.467,1
-75.378,-99.579,-79.143,-93.883,1
-75.166,-99.569,-78.574,-94.15,1
-74.314,-99.722,-77.937,-94.205,1
-73.156,-99.977,-77.494,-94.091,1
-72.017,-100.24,-77.443,-93.958,1
-71.117,-100.4,-77.838,-94.001,1
-70.542,-100.42,-78.575,-94.387,1
-70.258,-100.27,-79.44,-95.168,1
-70.168,-100.03,-80.186,-96.243,1
-70.183,-99.773,-80.635,-97.361,1
-70.268,-99.61,-80.731,-98.188,1
-70.461,-99.596,-80.556,-98.408,1
-70.842,-99.735,-80.28,-97.826,1
-71.49,-99.972,-80.086,-96.443,1
-72.427,-100.22,-80.085,-94.473,1
-73.595,-100.38,-80.269,-92.289,1
-74.857,-100.39,-80.513,-90.334,1
-76.039,-100.26,-80.625,-88.997,1
-76.982,-100.03,-80.437,-88.516,1
-77.599,-99.793,-79.881,-88.926,1
-77.892,-99.637,-79.034,-90.067,1
-77.949,-99.62,-78.115,-91.65,1
-77.901,-99.747,-77.415,-93.344,1
-77.869,-99.968,-77.202,-94.87,1
-77.92,-100.2,-77.628,-96.061,1
-78.05,-100.35,-78.666,-96.876,1
-78.195,-100.37,-80.112,-97.372,1
-78.269,-100.25,-81.643,-97.646,1
-78.21,-100.03,-82.914,-97.778,1
-78.012,-99.811,-83.659,-97.794,1
-77.726,-99.661,-83.771,-97.659,1
-77.435,-99.642,-83.32,-97.309,1
-77.205,-99.758,-82.516,-96.688,1
-77.048,-99.964,-81.632,-95.8,1
-76.896,-100.18,-80.911,-94.721,1
-76.625,-100.33,-80.496,-93.594,1
-76.103,-100.35,-80.401,-92.594,1
-75.255,-100.24,-80.53,-91.879,1
-74.123,-100.04,-80.739,-91.549,1
-72.876,-99.826,-80.903,-91.624,1
-71.784,-99.683,-80.965,-92.053,1
-71.136,-99.661,-80.957,-92.741,1
-71.14,-99.767,-80.969,-93.584,1
-71.838,-99.96,-81.102,-94.505,1
-73.066,-100.17,-81.403,-95.46,1
-74.482,-100.31,-81.841,-96.425,1
-75.655,-100.33,-82.3,-97.379,1
-76.196,-100.23,-82.626,-98.27,1
-75.878,-100.04,-82.687,-99.01,1
-74.717,-99.841,-82.432,-99.49,1
-72.971,-99.702,-81.922,-99.616,1
-71.07,-99.678,-81.32,-99.352,1
-69.485,-99.775,-80.832,-98.756,1
-68.584,-99.957,-80.633,-97.982,1
-68.526,-100.15,-80.799,-97.253,1
-69.22,-100.29,-81.269,-96.795,1
-70.372,-100.31,-81.865,-96.764,1
-71.592,-100.22,-82.351,-97.187,1
-72.524,-100.05,-82.523,-97.94,1
-72.965,-99.854,-82.291,-98.774,1
-72.919,-99.72,-81.723,-99.387,1
-72.567,-99.693,-81.033,-99.526,1
-72.186,-99.782,-80.511,-99.073,1
-72.027,-99.953,-80.421,-98.099,1
-72.211,-100.14,-80.903,-96.852,1
-72.68,-100.27,-81.909,-95.694,1
-73.22,-100.3,-83.202,-94.991,1
-73.543,-100.21,-84.427,-94.997,1
-73.412,-100.05,-85.217,-95.769,1
-72.734,-99.866,-85.313,-97.147,1
-71.617,-99.736,-84.656,-98.789,1
