Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room,AccX,AccY,AccZ,Activity
-69.157,-99.998,-80.488,-87.415,1,0.099653,0.85799,0.26944,1
-69.318,-99.981,-80.338,-87.88,1,0.87344,0.54479,0.18437,1
-69.496,-99.957,-80.218,-88.456,1,0.67969,0.5974,0.15937,1
-69.644,-99.937,-80.123,-89.102,1,-0.0017361,0.77049,0.59097,1
-69.739,-99.928,-80.047,-89.764,1,0.053333,0.41972,0.95806,1
-69.777,-99.932,-79.982,-90.383,1,-0.0083333,0.39139,0.92819,1
-69.778,-99.948,-79.916,-90.912,1,-0.0051389,0.38649,0.92066,1
-69.769,-99.969,-79.836,-91.319,1,-0.065799,0.5276,0.86233,1
-69.781,-99.988,-79.733,-91.595,1,-0.054583,0.6125,0.79396,1
-69.837,-99.999,-79.599,-91.751,1,0.15729,-0.18437,0.94937,1
-69.949,-100,-79.434,-91.811,1,0.21141,-0.16922,0.94344,1
-69.837,-99.993,-79.203,-92.165,1,-0.25486,0.70833,0.60608,1
-69.889,-99.989,-78.872,-92.423,1,-0.34146,0.76583,0.46646,1
-70.093,-99.989,-78.488,-92.612,1,-0.26745,0.81979,0.43047,1
-70.424,-99.993,-78.098,-92.764,1,-0.30219,0.81094,0.44125,1
-70.846,-99.999,-77.742,-92.902,1,-0.28056,0.8,0.47917,1
-71.312,-100.01,-77.446,-93.037,1,-0.32161,0.85521,0.34609,1
-71.777,-100.01,-77.217,-93.169,1,-0.2225,0.77625,0.4975,1
-72.203,-100.01,-77.048,-93.282,1,-0.10391,0.63125,0.7349,1
-72.563,-100.01,-76.92,-93.357,1,-0.33208,0.73958,0.65865,1
-72.847,-100,-76.809,-93.373,1,-0.27813,0.57813,0.77969,1
-73.064,-99.994,-76.693,-93.315,1,-0.27188,0.56458,0.78125,1
-73.235,-99.989,-76.56,-93.179,1,-0.28069,0.54139,0.79542,1
-73.392,-99.988,-76.404,-92.974,1,-0.21597,0.32847,0.93611,1
-73.567,-99.991,-76.236,-92.717,1,-0.21875,0.32694,0.93861,1
-73.786,-99.998,-76.069,-92.435,1,-0.21875,0.32222,0.9375,1
-74.062,-100.01,-75.922,-92.153,1,-0.22135,0.3125,0.93906,1
-74.392,-100.01,-75.811,-91.894,1,-0.21875,0.31458,0.94063,1
-74.757,-100.01,-75.744,-91.671,1,-0.21875,0.31375,0.93875,1
-75.128,-100.01,-75.722,-91.489,1,-0.21875,0.31361,0.945,1
-75.468,-100,-75.737,-91.345,1,-0.21875,0.31344,0.93938,1
-75.748,-99.995,-75.773,-91.234,1,-0.21875,0.31417,0.9375,1
-75.943,-99.989,-75.815,-91.148,1,-0.21875,0.3125,0.9375,1
-76.044,-99.987,-75.847,-91.084,1,-0.21875,0.31125,0.9375,1
-76.057,-99.99,-75.86,-91.046,1,-0.21958,0.31403,0.93833,1
-75.999,-99.996,-75.849,-91.039,1,-0.21875,0.31875,0.94115,1
-75.896,-100,-75.818,-91.073,1,-0.21875,0.32674,0.94271,1
-75.773,-100.01,-75.773,-91.149,1,-0.21875,0.33,0.94,1
-75.656,-100.01,-75.724,-91.265,1,-0.2201,0.3301,0.93562,1
-75.557,-100.01,-75.676,-91.403,1,-0.21875,0.32778,0.93854,1
-75.484,-100,-75.632,-91.537,1,-0.21875,0.33146,0.93944,1
-75.433,-99.997,-75.589,-91.635,1,-0.21875,0.33486,0.93931,1
-75.392,-99.99,-75.54,-91.663,1,-0.21875,0.33187,0.93722,1
-75.349,-99.987,-75.477,-91.595,1,-0.21875,0.33729,0.93938,1
-75.288,-99.988,-75.392,-91.419,1,-0.21997,0.33976,0.9375,1
-75.195,-99.995,-75.282,-91.14,1,-0.21875,0.33667,0.9375,1
-75.062,-100,-75.151,-90.782,1,-0.22097,0.34819,0.9375,1
-74.883,-100.01,-75.008,-90.385,1,-0.21719,0.3349,0.93594,1
-74.661,-100.01,-74.869,-89.993,1,-0.21875,0.33698,0.9349,1
-74.402,-100.01,-74.754,-89.648,1,-0.22187,0.35521,0.92812,1
-74.118,-100.01,-74.68,-89.381,1,-0.22031,0.35,0.92812,1
-73.83,-99.998,-74.663,-89.203,1,-0.22344,0.35781,0.92812,1
-73.561,-99.99,-74.708,-89.106,1,-0.21875,0.34757,0.93368,1
-73.338,-99.986,-74.81,-89.064,1,-0.21597,0.34965,0.92951,1
-73.187,-99.987,-74.958,-89.038,1,-0.21667,0.34757,0.93194,1
-73.128,-99.993,-75.127,-88.986,1,-0.2216,0.35076,0.93222,1
-73.172,-100,-75.292,-88.876,1,-0.21875,0.34656,0.93281,1
-73.315,-100.01,-75.427,-88.686,1,-0.21875,0.34826,0.93229,1
-73.539,-100.01,-75.512,-88.417,1,-0.21875,0.35243,0.9276,1
-73.811,-100.01,-75.538,-88.089,1,-0.22153,0.35069,0.93229,1
-74.09,-100.01,-75.507,-87.739,1,-0.21528,0.34896,0.93021,1
-74.33,-99.999,-75.43,-87.414,1,-0.21875,0.35292,0.9316,1
-74.492,-99.99,-75.333,-87.164,1,-0.22396,0.3625,0.92188,1
-74.55,-99.985,-75.24,-87.033,1,-0.22813,0.35521,0.92396,1
-74.495,-99.985,-75.179,-87.052,1,-0.23516,0.34609,0.92578,1
-74.334,-99.991,-75.17,-87.233,1,-0.26573,0.4049,0.91281,1
-74.094,-100,-75.222,-87.567,1,0.074479,0.60451,0.72622,1
-73.808,-100.01,-75.331,-88.026,1,-0.18437,0.60347,0.70694,1
-73.511,-100.02,-75.484,-88.566,1,-0.26833,0.38542,0.91625,1
-73.234,-100.02,-75.655,-89.132,1,-0.24427,0.33507,0.94462,1
-72.993,-100.01,-75.817,-89.666,1,-0.18917,0.23313,0.96583,1
-72.791,-100,-75.942,-90.117,1,-0.19132,0.23507,0.96875,1
-72.618,-99.99,-76.008,-90.446,1,-0.1875,0.24083,0.96958,1
-72.452,-99.983,-76.003,-90.636,1,-0.19687,0.24757,0.96875,1
-72.272,-99.983,-75.924,-90.692,1,-0.24281,0.36479,0.95135,1
-72.058,-99.989,-75.78,-90.642,1,-0.50625,-0.41094,0.17031,1
-71.8,-100,-75.588,-90.534,1,0.31479,-0.80646,0.37833,1
-71.498,-100.01,-75.369,-90.425,1,0.24375,-0.79219,0.42891,1
-71.165,-100.02,-75.145,-90.372,1,-0.030903,-0.86319,-0.30174,1
-70.818,-100.02,-74.939,-90.421,1,-0.38938,-0.82264,0.24042,1
-70.481,-100.01,-74.767,-90.594,1,-0.39333,-0.84187,0.20396,1
