Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room,AccX,AccY,AccZ,Activity
-74.333,-100,-82.5,-76,1,0.099653,0.85799,0.26944,1
-70.25,-100,-88.5,-84.25,1,0.87344,0.54479,0.18437,1
-67.5,-100,-91,-94.5,1,0.67969,0.5974,0.15937,1
-69,-100,-75.5,-89.667,1,-0.0017361,0.77049,0.59097,1
-68.2,-100,-79.8,-91,1,0.053333,0.41972,0.95806,1
-67.333,-100,-81.8,-81.667,1,-0.0083333,0.39139,0.92819,1
-72.6,-100,-79,-86.667,1,-0.0051389,0.38649,0.92066,1
-64.5,-100,-79.25,-85,1,-0.065799,0.5276,0.86233,1
-69.4,-100,-77.8,-87.5,1,-0.054583,0.6125,0.79396,1
-57.8,-100,-78.5,-86.5,1,0.15729,-0.18437,0.94937,1
-70.75,-100,-81.2,-100,1,0.21141,-0.16922,0.94344,1
-72.333,-100,-82.5,-87,1,-0.25486,0.70833,0.60608,1
-74.333,-100,-77.6,-100,1,-0.34146,0.76583,0.46646,1
-69,-100,-81,-100,1,-0.26745,0.81979,0.43047,1
-75.4,-100,-69.25,-100,1,-0.30219,0.81094,0.44125,1
-71,-100,-80,-88,1,-0.28056,0.8,0.47917,1
-69.5,-100,-83.333,-100,1,-0.32161,0.85521,0.34609,1
-69.2,-100,-77.8,-100,1,-0.2225,0.77625,0.4975,1
-66.25,-100,-83.333,-100,1,-0.10391,0.63125,0.7349,1
-73.25,-100,-75,-100,1,-0.33208,0.73958,0.65865,1
-71.75,-100,-71.75,-88,1,-0.27813,0.57813,0.77969,1
-68.25,-100,-73.5,-89.5,1,-0.27188,0.56458,0.78125,1
-77.4,-100,-74.8,-96.667,1,-0.28069,0.54139,0.79542,1
-80.667,-100,-79,-87,1,-0.21597,0.32847,0.93611,1
-74.2,-100,-70,-89,1,-0.21875,0.32694,0.93861,1
-80,-100,-78.5,-91.333,1,-0.21875,0.32222,0.9375,1
-75,-100,-72,-85,1,-0.22135,0.3125,0.93906,1
-72,-100,-77.5,-93,1,-0.21875,0.31458,0.94063,1
-73.8,-100,-77.6,-100,1,-0.21875,0.31375,0.93875,1
-73,-100,-73,-85,1,-0.21875,0.31361,0.945,1
-75,-100,-73.8,-88,1,-0.21875,0.31344,0.93938,1
-70.6,-100,-75,-88.333,1,-0.21875,0.31417,0.9375,1
-84.667,-100,-83.5,-88,1,-0.21875,0.3125,0.9375,1
-74.75,-100,-73.2,-89,1,-0.21875,0.31125,0.9375,1
-75.2,-100,-76.8,-95.667,1,-0.21958,0.31403,0.93833,1
-73,-100,-71.5,-90.5,1,-0.21875,0.31875,0.94115,1
-73,-100,-78.333,-100,1,-0.21875,0.32674,0.94271,1
-78.8,-100,-76.6,-100,1,-0.21875,0.33,0.94,1
-76.75,-100,-75.2,-85,1,-0.2201,0.3301,0.93562,1
-74.5,-100,-81.667,-88,1,-0.21875,0.32778,0.93854,1
-82.333,-100,-73,-93,1,-0.21875,0.33146,0.93944,1
-80.667,-100,-76.6,-93,1,-0.21875,0.33486,0.93931,1
-74.333,-100,-75.4,-84,1,-0.21875,0.33187,0.93722,1
-75.5,-100,-76.8,-98,1,-0.21875,0.33729,0.93938,1
-81.5,-100,-77,-93.5,1,-0.21997,0.33976,0.9375,1
-73.6,-100,-71.8,-90.5,1,-0.21875,0.33667,0.9375,1
-70,-100,-73.333,-86.5,1,-0.22097,0.34819,0.9375,1
-71,-100,-78,-88,1,-0.21719,0.3349,0.93594,1
-75.5,-100,-70.75,-86.5,1,-0.21875,0.33698,0.9349,1
-76.333,-100,-76,-100,1,-0.22187,0.35521,0.92812,1
-73.25,-100,-71.5,-100,1,-0.22031,0.35,0.92812,1
-73,-100,-72.5,-88,1,-0.22344,0.35781,0.92812,1
-69.25,-100,-80,-87.5,1,-0.21875,0.34757,0.93368,1
-71.333,-100,-78.833,-89,1,-0.21597,0.34965,0.92951,1
-80,-100,-74,-86,1,-0.21667,0.34757,0.93194,1
-72.2,-100,-73.833,-87,1,-0.2216,0.35076,0.93222,1
-73.8,-100,-72.5,-86,1,-0.21875,0.34656,0.93281,1
-75.667,-100,-65,-86,1,-0.21875,0.34826,0.93229,1
-69.333,-100,-73.25,-86,1,-0.21875,0.35243,0.9276,1
-70,-100,-76.5,-86,1,-0.22153,0.35069,0.93229,1
-67.25,-100,-82.75,-87,1,-0.21528,0.34896,0.93021,1
-71.2,-100,-73,-85.5,1,-0.21875,0.35292,0.9316,1
-76,-100,-76,-89.5,1,-0.22396,0.3625,0.92188,1
-75.5,-100,-79.5,-85.5,1,-0.22813,0.35521,0.92396,1
-78,-100,-79.5,-100,1,-0.23516,0.34609,0.92578,1
-74,-100,-79.75,-89.8,1,-0.26573,0.4049,0.91281,1
-76.667,-100,-79,-78.75,1,0.074479,0.60451,0.72622,1
-69,-100,-69,-86,1,-0.18437,0.60347,0.70694,1
-79.6,-100,-75,-85,1,-0.26833,0.38542,0.91625,1
-74.667,-100,-77.75,-88.667,1,-0.24427,0.33507,0.94462,1
-78.8,-100,-75.4,-89.5,1,-0.18917,0.23313,0.96583,1
-82.333,-100,-71.667,-88.5,1,-0.19132,0.23507,0.96875,1
-79.2,-100,-76,-83,1,-0.1875,0.24083,0.96958,1
