Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room
-78.75,-100,-77.25,-86.5,1
-84,-100,-83,-88.333,1
-75.667,-100,-77.25,-81.5,1
-81.833,-100,-77,-79.667,1
-78,-100,-82,-84,1
-75,-100,-83.25,-79,1
-75.75,-100,-82.8,-95,1
-69.5,-100,-83.25,-100,1
-75.5,-100,-84.25,-100,1
-64.333,-100,-76,-96,1
-70.2,-100,-90.5,-92.5,1
-70,-100,-78,-83.5,1
-78,-100,-69.667,-93.5,1
-68,-100,-77,-84.6,1
-67,-100,-70.5,-82.333,1
-63.5,-100,-73.5,-92.667,1
-71,-100,-83.2,-90.5,1
-78.4,-100,-83.333,-90.5,1
-74.8,-100,-76.5,-80,1
-76.4,-100,-78.667,-86.2,1
-73.75,-100,-77.4,-87.667,1
-85,-100,-77.5,-92,1
-83.333,-100,-85.333,-84.333,1
-79.667,-100,-73.5,-85,1
-87.667,-100,-81.25,-87.667,1
-89,-100,-78.8,-80.5,1
-78,-100,-86.667,-92,1
-79.333,-100,-74.667,-78.5,1
-80,-100,-78,-100,1
-84.75,-100,-83.333,-89,1
-82.75,-100,-69,-91.5,1
-76,-100,-85,-77,1
-78,-100,-79.333,-93,1
-72.75,-100,-76.5,-85,1
-78,-100,-79,-86,1
-70.25,-100,-82.667,-91,1
-71.25,-100,-77,-84,1
-73,-100,-78.25,-86.5,1
-67.8,-100,-77.667,-87.6,1
-64.333,-100,-74.25,-80,1
-74.75,-100,-89,-77.5,1
-72,-100,-78.5,-88.5,1
-59,-100,-79.75,-98,1
-53.75,-100,-78.667,-98,1
-71.75,-100,-79.25,-93.333,1
-66,-100,-81,-83.667,1
-60.5,-100,-100,-81.5,1
-62.667,-100,-82.5,-100,1
-64.75,-100,-74,-89,1
-59,-100,-70,-92.667,1
-60.2,-100,-72.5,-85,1
-76.75,-100,-66,-85,1
-74,-100,-68,-87.25,1
-70.667,-100,-76.667,-89.333,1
-76.5,-100,-75.5,-78,1
-72.75,-100,-80,-81,1
-64.5,-100,-72,-93,1
-77,-100,-74.5,-87,1
-71.4,-100,-72,-86.75,1
-69.333,-100,-71.667,-88,1
-75.4,-100,-75,-86,1
-79,-100,-75.5,-78,1
-69,-100,-84.25,-82,1
-65.75,-100,-74.667,-76,1
-61.75,-100,-73.333,-84.333,1
-79.333,-100,-77,-84.5,1
-73.6,-100,-75.4,-89.5,1
-72.667,-100,-69,-100,1
-80,-100,-72,-84,1
-74.333,-100,-73.333,-83,1
-75,-100,-81.5,-90,1
