Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room,AccX,AccY,AccZ
-70,-100,-75,-85,1,-0.086111,-0.27222,0.75694
-66.75,-100,-70.4,-87,1,-0.20865,-0.52438,0.82906
-67.667,-100,-69.667,-84.5,1,-0.21736,-0.50486,0.84132
-71.6,-100,-68,-86,1,-0.21875,-0.5,0.84375
-78,-100,-69.5,-88,1,-0.22205,-0.49861,0.84323
-65.2,-100,-68.2,-89,1,-0.2376,-0.49771,0.84208
-70,-100,-68.75,-89.333,1,-0.24983,-0.45156,0.86476
-68.6,-100,-68.5,-98,1,-0.24687,-0.4501,0.87594
-68.4,-100,-68.333,-84.5,1,-0.24785,-0.41736,0.87833
-78,-100,-64.667,-100,1,-0.24896,-0.43854,0.87396
-72.4,-100,-74.333,-88.667,1,-0.23958,-0.42333,0.88236
-76.333,-100,-71.2,-85,1,0.0015278,0.082431,0.87896
-72,-100,-77,-84,1,0.63646,-0.22847,0.75868
-86,-100,-70.75,-83.75,1,0.6625,-0.22812,0.71563
-78.5,-100,-76.667,-89.6,1,0.66559,-0.21753,0.71184
-86.25,-100,-74.4,-87.333,1,0.66712,-0.22038,0.71222
-72,-100,-76.667,-88,1,0.6658,-0.21979,0.70833
-78.5,-100,-70.333,-82.5,1,0.66528,-0.225,0.70278
-75,-100,-68.75,-89.333,1,0.67622,-0.2217,0.69931
-79.4,-100,-73.75,-93.333,1,0.68229,-0.2159,0.69587
-68.75,-100,-79,-79.5,1,0.68403,-0.21875,0.69583
-75.5,-100,-76.5,-100,1,0.68099,-0.21745,0.69063
-74.5,-100,-70.667,-94,1,0.68125,-0.22188,0.6941
-71.25,-100,-77,-81,1,0.35156,-0.011979,0.93438
-74.2,-100,-80.5,-84,1,0.17708,0.50198,0.74167
-73.25,-100,-87,-91,1,0.10833,0.50729,0.81146
-73,-100,-76.75,-87,1,0.40521,-0.12813,0.80521
-84,-100,-71,-82,1,0.22639,-0.21458,1.0271
-79.2,-100,-75.75,-85.75,1,0.27021,-0.36771,0.90771
-81.25,-100,-81,-86.2,1,0.27073,-0.36677,0.90625
-71,-100,-75.6,-88,1,0.265,-0.37111,0.90625
-81.667,-100,-73.5,-93,1,0.26701,-0.37049,0.90573
-85,-100,-74.5,-86.333,1,0.26441,-0.36684,0.90434
-74.4,-100,-69.75,-87,1,0.26608,-0.36906,0.90625
-76.5,-100,-70,-87.667,1,0.26128,-0.36753,0.90625
-79,-100,-85.5,-87.333,1,0.26826,-0.36514,0.90625
-77.4,-100,-73.4,-82.5,1,0.26844,-0.36823,0.90625
-79,-100,-71.5,-87.333,1,0.26372,-0.36667,0.90451
-77.6,-100,-76.5,-87.5,1,0.26875,-0.35958,0.90958
-83.333,-100,-77.5,-90,1,0.26424,-0.36528,0.90625
-79.2,-100,-80.25,-86,1,0.26875,-0.36875,0.90625
-77,-100,-72.5,-87.333,1,0.2625,-0.37431,0.90625
-77.667,-100,-78.8,-89.5,1,0.26799,-0.36806,0.90625
-76.2,-100,-78.5,-91.5,1,0.26583,-0.37125,0.90479
-66.4,-100,-69.667,-100,1,0.10646,-0.71917,0.56271
-61.8,-100,-79.25,-100,1,0.0375,-0.89016,0.35359
-56.5,-100,-75.25,-100,1,-0.026562,-0.91016,0.25703
-72.2,-100,-73.333,-100,1,0.29021,-0.74167,0.52312
-78.2,-100,-69.5,-85,1,0.16813,-0.31229,0.91063
-76.75,-100,-79,-83.5,1,0.2033,-0.32153,0.95243
-78,-100,-67,-100,1,-0.19349,-0.37187,0.66172
-76.667,-100,-70.25,-85.25,1,-0.12708,-0.31111,0.71389
-75,-100,-73.4,-91.333,1,-0.075069,0.2516,0.98191
-75,-100,-80.286,-96,1,-0.10456,0.81528,0.51597
-79.5,-100,-78.667,-87.75,1,-0.10174,0.71632,0.66319
-75.5,-100,-71.667,-80,1,-0.21146,0.64965,0.65694
