Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room
-31.667,-100,-80.25,-100,1
-48,-100,-82,-100,1
-71.333,-100,-76.75,-84,1
-80.667,-100,-73.5,-101,1
-69.167,-100,-79.6,-84.5,1
-71.6,-100,-80.6,-97,1
-68,-100,-80.5,-85.333,1
-73.5,-100,-80.5,-89.5,1
-75,-100,-80.2,-89.25,1
-71.25,-100,-83,-84,1
-70.4,-100,-71.25,-86.5,1
-57.5,-100,-83,-84,1
-77.4,-100,-78.5,-100,1
-79,-100,-78.2,-100,1
-69.75,-100,-77.667,-100,1
-75.8,-100,-87.667,-84.333,1
-66,-100,-76.667,-92.25,1
-69.667,-100,-86.5,-88.4,1
-67.5,-100,-83.4,-87.75,1
-75.4,-100,-85,-90,1
-74.75,-100,-84,-87.5,1
-71.75,-100,-79,-88,1
-72,-100,-86,-87.333,1
-77,-100,-87.333,-88.333,1
-100,-100,-84.667,-87,1
-77.6,-100,-88.5,-98,1
-71,-100,-93,-100,1
-75,-100,-87,-89.667,1
-75.75,-100,-87,-91.5,1
-69,-100,-88,-90.5,1
-71.25,-100,-87,-86,1
-74,-100,-90.667,-88,1
-70.333,-100,-87,-87,1
-75.6,-100,-86.25,-100,1
-73,-100,-88.4,-93,1
-78.667,-100,-86,-92,1
-76,-100,-89.75,-100,1
-73,-100,-87.667,-100,1
-73.667,-100,-91.333,-95,1
-70.2,-100,-89.75,-84,1
-79,-100,-85,-90.667,1
-76,-100,-86.667,-84,1
-81.25,-100,-89.25,-92.5,1
-70.4,-100,-89,-89.333,1
-77.5,-100,-87.25,-92,1
-73.667,-100,-87.5,-88.5,1
-80,-100,-89.8,-100,1
-73.5,-100,-89.75,-86.333,1
-72.25,-100,-84.333,-90,1
-77,-100,-90.25,-88,1
-77.75,-100,-90.5,-92.667,1
-78,-100,-84.333,-89,1
-73.2,-100,-93,-100,1
-79.667,-100,-90.5,-92,1
-74,-100,-97,-87,1
-84,-100,-89.5,-100,1
-70.75,-100,-91,-87,1
-79.5,-100,-87.667,-89,1
-77.6,-100,-92,-89,1
-73.5,-100,-85,-86,1
-78.333,-100,-86.5,-100,1
-76,-100,-87.333,-100,1
-74.2,-100,-89.6,-86,1
-76.2,-100,-88,-86,1
-67,-100,-82.5,-95.5,1
-77,-100,-88,-91,1
-77,-100,-87.333,-87,1
-77.5,-100,-97,-89.667,1
-72.667,-100,-87.75,-88.5,1
-73.25,-100,-86.25,-86,1
-71,-100,-89.5,-100,1
-76.25,-100,-88,-89,1
-74.5,-100,-87.2,-84,1
-82,-100,-90.25,-92,1
-78.8,-100,-93.5,-88,1
-68.8,-100,-88.333,-100,1
-75.6,-100,-90.667,-98,1
-78.75,-100,-85.5,-101,1
-76,-100,-91.75,-85,1
-75.75,-100,-89,-101,1
-79.8,-100,-87.25,-84,1
-72.25,-100,-99.5,-95,1
-74.667,-100,-97,-100,1
-68.5,-100,-85.333,-92.5,1
-77.667,-100,-93,-95,1
-63.25,-100,-88.667,-100,1
-72.667,-100,-85.75,-100,1
-70.25,-100,-88.4,-100,1
-65,-100,-85.333,-100,1
-67,-100,-86,-100,1
-78,-100,-88.333,-100,1
-65,-100,-81.4,-100,1
-65,-100,-91,-100,1
-68.75,-100,-85.143,-100,1
-59.5,-100,-79.333,-100,1
-60.75,-100,-84.4,-100,1
-60.667,-100,-84.333,-100,1
-69.2,-100,-81.333,-100,1
-66.4,-100,-89.667,-100,1
-70.667,-100,-86,-100,1
-61.667,-100,-83,-100,1
-71,-100,-83.333,-100,1
-69.25,-100,-84.667,-100,1
-65.25,-100,-85.4,-100,1
-62.333,-100,-88.25,-100,1
-68,-100,-83.667,-100,1
-70,-100,-81.333,-100,1
-65.2,-100,-83,-97.5,1
-72.5,-100,-90.5,-101,1
-63.4,-100,-78.75,-100,1
-70.2,-100,-89,-100,1
-65.6,-100,-83.667,-100,1
-65,-100,-84.75,-100,1
-67.333,-100,-80.333,-100,1
-64.75,-100,-86.667,-100,1
-71.6,-100,-88.25,-100,1
-67.333,-100,-79.333,-101,1
-73.8,-100,-71.6,-83,1
-81,-100,-76.5,-100,1
-75.667,-100,-79.25,-100,1
